gene	logFC	logCPM	LR	PValue	FDR
RPS4Y1	4.1516321301846	8.36175255325122	10102.2661259918	0	0
EIF1AY	4.07880644229031	5.78259647870714	2752.13895878987	0	0
DDX3Y	3.61442596611796	5.5522173838721	1933.71735688791	0	0
XIST	-3.13536024995447	7.30770398706917	3510.92889390564	0	0
UTY	3.29832688261514	5.20493903179707	1164.097437683	3.87281121209303e-255	1.92889235229506e-251
TTTY15	3.14772512748199	5.10803282059243	957.213953395759	3.58603102776991e-210	1.4883821780759e-206
KDM5D	2.97699405101642	5.0629695079	824.266667592036	2.85856596948272e-181	1.01695526197183e-177
ZFY	2.85661954218187	4.83324563884781	549.019171399628	2.05759805442689e-121	6.40504554367409e-118
USP9Y	2.25486094613708	4.79533286381937	336.333952971349	4.01128001748654e-75	1.10992118083852e-71
RPS4X	-0.494311215447215	12.4709596149691	296.589026130265	1.82356667437768e-66	4.54122808920274e-63
DONSON	-0.59070840578336	7.49927201764537	209.459066694193	1.80253135543569e-47	4.08076712221955e-44
EIF1AX	-0.604469342221331	7.05361387828122	193.552237304867	5.33323980686166e-44	1.10678059091897e-40
AC144449.1	-1.53770958047873	4.85372885961322	166.539253531868	4.21767016471199e-38	8.07943385475558e-35
PRKX	-0.721371170662134	6.15893929652158	160.789543438556	7.60580486187871e-37	1.35290970339547e-33
RPS4Y2	1.42248763888129	4.5798573849162	129.696786624288	4.7740807184057e-30	7.92592880869715e-27
EIF2S3	-0.44092421561156	7.57421057575663	127.401906489186	1.51717331444393e-29	2.36138544059983e-26
MYL9	1.04680669293955	4.9326989985868	116.229702750967	4.23314225093174e-27	6.20105538087959e-24
TMSB4Y	1.30385008731812	4.57696072192164	102.240107963841	4.91839541912131e-24	6.80460006235433e-21
DDX3X	-0.463755620668405	6.61365012413446	93.0865281176275	5.00573122147032e-22	6.56093287411976e-19
ZRSR2	-0.568440411950195	6.01837096725065	92.6136944524603	6.35660514179004e-22	7.91492689229987e-19
