gene	logFC	logCPM	LR	PValue	FDR
EIF1AY	4.12975636314285	6.02301753762807	2490.39520799832	0	0
RPS4Y1	4.10982775077823	8.31270896296794	8962.92959414901	0	0
XIST	-3.38457541873695	7.4133303061565	3363.66384868476	0	0
DDX3Y	3.13305125786501	5.64923052481265	1137.04311760503	2.93693712455917e-249	1.82846363032243e-245
KDM5D	3.08258683464132	5.41050082315287	794.261903976382	9.54183877605099e-175	4.75240822079996e-171
TTTY15	3.0510471440332	5.38862778578351	753.087784824029	8.55082085536999e-166	3.54901819602131e-162
UTY	2.91798120866733	5.41328685890578	729.243890519084	1.3080108362448e-160	4.65334197928632e-157
RPS4X	-0.621133959222757	12.6003109672609	436.757770306705	5.49649988847914e-97	1.71099170903495e-93
ZFY	2.45468245471676	5.17663678023362	372.522863925309	5.28315563485959e-83	1.46184916416565e-79
USP9Y	2.02156614639483	5.14121205736216	241.922156135897	1.49829217105739e-54	3.73119699358421e-51
EIF2S3	-0.581772299571799	7.75416864543922	208.314921843188	3.20264641264882e-47	7.25050032856305e-44
DONSON	-0.620287345934459	7.49737384400993	200.23841168838	1.85270077179316e-45	3.84481727666376e-42
EIF1AX	-0.635551680073109	7.14219717231096	188.058057339221	8.43774427474628e-43	1.61634727441544e-39
RPS4Y2	1.75055522874013	5.09309566224673	178.364427230291	1.10291242911184e-40	1.9618448730123e-37
ZRSR2	-0.692182350446189	6.28729143072787	123.035156834074	1.36999746902482e-28	2.27446979807501e-25
PRKX	-0.655508765245643	6.21049137124398	103.985955544072	2.03755269255947e-24	3.17132341892553e-21
JPX	-0.676119183544944	6.09499983310446	98.4258092147616	3.37432633484291e-23	4.94299110097606e-20
RHOB	-0.59621848069522	6.098270128413	77.3483773077976	1.43312413494752e-18	1.9827272406999e-15
ZFX	-0.676094898980333	5.86596021650662	76.1751965149298	2.5958181759554e-18	3.40229789662197e-15
TXLNG	-0.719645914873833	5.71954874563796	72.0221363717994	2.12796797066999e-17	2.64963931867973e-14
AC144449.1	-1.17062269354911	5.08023765353395	70.0552513779525	5.7666409146679e-17	6.83841231895117e-14
DDX3X	-0.449380763616338	6.61959857816731	69.8556491759516	6.3807097868512e-17	7.22267344645252e-14
CXorf38	-0.763846865297407	5.58149503746836	66.2484898858499	3.97512189026027e-16	4.30402001883268e-13
TMSB4Y	0.869147109019235	5.02695125717316	56.323855816033	6.14651393042218e-14	6.37777651705431e-11
PNPLA4	-0.79020423335251	5.42140115550739	55.0515368886365	1.17410477550875e-13	1.16954924897978e-10
OFD1	-0.348408920364195	7.01901745604997	54.8501240816041	1.30080551706349e-13	1.24592153043969e-10
RP5-887A10.1	-0.241406721755662	9.19225117617689	52.2877679151284	4.79351014164361e-13	4.42121418730929e-10
MTRNR2L8	-0.52860211567614	5.92210069315373	51.7673093775015	6.24835349727951e-13	5.55724096938399e-10
NLGN4Y	0.711132597194684	5.01404282378784	49.5320090696029	1.95161380646157e-12	1.67589788352802e-09
SYAP1	-0.467336013852759	6.09151213204422	48.2239091217549	3.80223837518165e-12	3.15623807523829e-09
JUN	-0.216017848977733	9.62072907432643	44.6621593058053	2.34138998566559e-11	1.88089144558162e-08
BDH1	-0.569243666880386	5.68071780212858	43.5312279204595	4.1724758293263e-11	3.18015377304783e-08
ACVR2B	-0.784131699186293	5.29973167625137	43.4592830014954	4.32873267835883e-11	3.18015377304783e-08
LY9	-0.376318356175112	6.44691346594827	43.4533596872275	4.34185553080456e-11	3.18015377304783e-08
EAF2	-0.323935524048877	6.86408163470378	43.3572842479625	4.56035419851776e-11	3.24475716016251e-08
MALAT1	-0.188823768147829	15.9213046722686	42.7389281639574	6.25549442505389e-11	4.32723826853103e-08
PRDM6	-0.802833332325035	5.2652452231571	42.1583351615036	8.41744092007736e-11	5.66539273601855e-08
TPT1	-0.190469515908186	12.342876841035	41.7846661704523	1.01899437960249e-10	6.6778992198002e-08
CD83	-0.330182982510358	6.70086254540202	40.7071748451417	1.76836696003075e-10	1.12917031809348e-07
C8orf59	-0.295011241530388	7.01101741555533	39.546064528578	3.20411484452762e-10	1.99480179933178e-07
CXorf21	-0.528265638970514	5.71111774034485	39.1660289135511	3.8925440665785e-10	2.3642932900001e-07
HLA-DQB1	-0.199682309652183	9.77325052457836	38.8475424997839	4.58230437747904e-10	2.71697918838954e-07
CD37	-0.188530518501462	10.7222699257603	38.0797510882393	6.79112598587542e-10	3.93300954479664e-07
EEF1B2	-0.184407640859221	11.094355610569	37.3024853543224	1.01155609046343e-09	5.72517757291154e-07
CD70	-0.402214450488562	6.11166950178578	36.6829320222923	1.38991042088621e-09	7.69176426918427e-07
EEF1A1	-0.175438681257419	13.7264907545343	36.3221681021828	1.67250623488305e-09	9.05443973202014e-07
RP11-424G14.1	0.557298267232442	5.00836145847769	35.7579097887396	2.23423018227877e-09	1.18380923892103e-06
RP11-706O15.1	-0.689544487771999	5.31932457711383	35.462948339939	2.59948575175872e-09	1.34864570158432e-06
SMC1A	-0.477260363483742	5.77362113028165	34.9859200390381	3.32098077344038e-09	1.68780375920379e-06
GPR183	-0.255150404156952	7.29058998006082	34.191332930912	4.99509278014956e-09	2.48785591008129e-06
