gene	logFC	logCPM	LR	PValue	FDR
EIF1AY	4.52642012873229	5.65443389677948	6716.89159194723	0	0
RPS4Y1	4.00605585428199	8.26884267321566	14808.0468586249	0	0
TTTY15	3.65853714694749	4.35063507618306	1884.93975790092	0	0
DDX3Y	3.5537185770197	4.73564661198821	2624.24462904701	0	0
KDM5D	3.34754278238098	4.25345786482996	1492.71998849717	0	0
UTY	3.34140239007638	4.34122623124918	1652.05874910942	0	0
XIST	-2.95208781233368	6.82349019705549	4602.0951222728	0	0
ZFY	3.37760719636535	3.89620820206694	947.764680234127	4.06113465275382e-208	1.2641804532191e-204
RPS4Y2	3.2071560344254	3.71234289737711	666.173533405035	6.78816054244675e-147	1.87828402209502e-143
USP9Y	2.49812477267749	3.79473532322669	489.970131403697	1.44647583856124e-108	3.60215878076906e-105
AC144449.1	-2.59510782910896	3.79120299179944	370.379011615623	1.5476460443526e-82	3.50372994931933e-79
EIF1AX	-0.626646859970746	6.74592496239982	314.621226553375	2.15052843122133e-70	4.46288412689206e-67
RPS4X	-0.418483577239792	12.5643183794244	259.213500967772	2.54656712332904e-58	4.87824315940485e-55
EIF2S3	-0.485879042937668	7.45596393620001	235.684671263221	3.43300747834511e-53	6.10658465951631e-50
TTTY14	2.00125634365569	3.53465579982195	217.544751997139	3.10419624191518e-49	5.15358660082758e-46
TMSB4Y	1.94122200714873	3.51413791414811	207.413721356987	5.03656905338043e-47	7.8391049460208e-44
DONSON	-0.384053678010762	7.23549681770634	134.909924344378	3.45492560582129e-31	5.06105955069221e-28
MYL9	1.15938514037888	3.8172452069549	131.919301299809	1.55826614967998e-30	2.15586121808225e-27
ZRSR2	-0.512123830105247	5.66765550845343	131.057479486355	2.40539421644689e-30	3.15271221958826e-27
JPX	-0.523980039388674	5.53117581709576	125.561472769662	3.8352348637146e-29	4.77544269055423e-26
PRKX	-0.512217931982137	5.54072271420394	120.485022165969	4.95393995984238e-28	5.87466508666451e-25
SYAP1	-0.485233774121036	5.36509169551191	97.1533751251295	6.41598211722218e-23	7.26260012114473e-20
DDX3X	-0.394005897601057	6.06620180703783	96.7203860416853	7.98429204453281e-23	8.6449054254348e-20
CXorf38	-0.638512161527986	4.63908842345736	92.9182213942518	5.45004151345111e-22	5.65509932539471e-19
TXLNG	-0.576414777694242	4.76698987950857	85.3718376000443	2.47216626894308e-20	2.46257426381959e-17
CD83	-0.30299992485114	6.94956758031912	81.9876578569265	1.3693914740891e-19	1.31161368766311e-16
