gene	logFC	logCPM	LR	PValue	FDR
DDX3Y	3.88732672446523	6.1171064801511	3740.56480453853	0	0
EIF1AY	3.6069552996799	5.62824707468242	2349.77490027606	0	0
RPS4Y1	3.60138801452052	8.03124339364964	7489.55952124024	0	0
XIST	-3.17074071257522	7.26453886615164	4194.27302842481	0	0
UTY	2.96904573406493	4.98590246162011	930.606192363437	2.1803417766898e-204	1.08594102529812e-200
HBB	1.38040641137717	6.25026763061014	726.823496115147	4.39453835741346e-160	1.82395314524446e-156
ZFY	2.69920498436118	4.67931213468754	509.746561007498	7.20038567572619e-113	2.56158863546585e-109
KDM5D	2.04605650087105	4.67923603919485	319.299424505593	2.05826962631631e-71	6.40713606301939e-68
HBA2	1.06490553624554	5.62012615364924	285.171650472783	5.60583088083292e-64	1.55113340472647e-60
G0S2	-0.585991089985372	8.35379156934398	278.279100854228	1.78079503172646e-62	4.43471386750839e-59
HBA1	1.11967727859379	5.25590326498308	221.314546924219	4.6735961477032e-50	1.0580596806023e-46
TMSB4Y	1.8916563621042	4.4638883017697	200.217444107524	1.87232334554946e-45	3.88553902285153e-42
TTTY14	1.85647691391492	4.46702168013179	194.197472471003	3.85624534525056e-44	7.38708291021343e-41
EIF1AX	-0.452156024330936	7.04536238413066	129.049015825926	6.6164108575948e-30	1.17691771133345e-26
TTTY15	1.37986914960805	4.53747089669247	120.570299315074	4.74549862880743e-28	7.8784768235461e-25
USP9Y	1.38125735434887	4.46418463353789	106.671478358955	5.2543456736357e-25	8.17806064440937e-22
PRKX	-0.519899021582661	6.02948758142971	101.686605464013	6.50386762927889e-24	9.52740091599601e-21
ARSD	-0.660853669165376	5.39835217727897	98.3955648462053	3.42625755303689e-23	4.74022732462654e-20
THBS1	0.448368966531454	6.1509830037861	85.1366307567505	2.78444077190991e-20	3.64952255488802e-17
LINC00278	1.10159414273527	4.39065127705373	73.1024550448175	1.23091315458526e-17	1.53267151443183e-14
LMNA	-0.449132586999349	5.89060495172116	68.1030770005177	1.55168340815779e-16	1.84007485301684e-13
HNRNPH1	0.264483699526794	7.89652640920751	55.9817543372453	7.31467106510667e-14	8.27987516065234e-11
HDHD1	-0.570558469732423	5.13770209986917	55.3928946025731	9.86925524112639e-14	1.06858288378161e-10
APOBEC3B	0.716779750658451	4.78628046355704	55.0093831072998	1.19955788317738e-13	1.24469124853192e-10
PLAC8	0.257118981243247	7.85742590164607	52.4577965970607	4.39594328054823e-13	4.3788870206197e-10
RPS4X	-0.226022602349897	11.6151155592656	51.2244217413346	8.23872633504895e-13	7.86955100660202e-10
DONSON	-0.288867543475678	7.30423202501522	51.1557084366486	8.53222010112253e-13	7.86955100660202e-10
ARL4C	0.326791854078141	6.3384451838194	50.8077357602151	1.01871416658783e-12	9.06037103233459e-10
CCL2	-0.794374814101168	4.6349459762305	49.0248230288773	2.52743628864133e-12	2.17037054813914e-09
SAP30	0.430156700751505	5.46435153191439	48.0577386329201	4.13851012387126e-12	3.43537725382554e-09
C1orf56	0.273470670430214	6.97311654486	47.960611188777	4.3486819718857e-12	3.49339442406031e-09
KDM5C	-0.489214340180762	5.27004618002216	47.709264485741	4.94349977799612e-12	3.84712421785742e-09
ZFY-AS1	0.698982860032726	4.35802235565839	39.2911279898097	3.65096469391674e-10	2.75515072038207e-07
CXCL10	-0.499691413543246	5.03083490861313	38.4782361068255	5.53676928102633e-10	4.05535780604114e-07
RPL17	0.200918452938318	9.17117103587268	37.8635821214364	7.58683429767318e-10	5.39814098614158e-07
IGLL5	0.309822701168326	6.0785334636534	37.590210620926	8.72814256513119e-10	6.0376926194295e-07
AREG	0.641816400587048	4.69038715278102	37.2205075444338	1.05498482580217e-09	7.1006181397166e-07
ZG16B	-0.486595637335078	5.05711492742706	36.0869109940645	1.88710152444743e-09	1.23669708587669e-06
C1QA	-0.399319219094258	5.39955921715184	35.817125861729	2.16734346054212e-09	1.38393215892001e-06
LIPA	0.259999943609354	6.54606666989867	35.7550169567505	2.23755018677009e-09	1.39304280752839e-06
RPSAP58	0.241216076218091	6.76657039690114	33.045831885617	9.0011807465266e-09	5.42011733375802e-06
RP11-347P5.1	0.271176142849345	6.24304269943614	33.0158066397598	9.14126522980511e-09	5.42011733375802e-06
IRS2	0.222886214092879	7.00700661178731	32.5464733662495	1.16376115876378e-08	6.73980096202193e-06
MTRNR2L12	-0.312266746636745	5.85226161026814	32.3914115731714	1.26042305237616e-08	7.13370801666443e-06
