gene	logFC	logCPM	LR	PValue	FDR
RPS4Y1	4.29185205264203	8.68227115072712	38508.5781672264	0	0
TTTY15	4.07422007851083	3.83291041572249	8888.89867002624	0	0
EIF1AY	3.98152625282574	4.42073886842259	12256.8626375884	0	0
UTY	3.78404921874577	3.61357471408057	7075.31139199491	0	0
ZFY	3.7500116011989	2.40956455978836	2783.68497715336	0	0
DDX3Y	3.74736963163759	4.2780843477767	10512.8975883731	0	0
KDM5D	3.73145988180996	3.48373674110591	6379.56591307439	0	0
USP9Y	3.64438469330652	2.5892001478937	3144.29988345046	0	0
XIST	-3.18173611265726	6.89557566511489	15321.9309602738	0	0
TTTY14	3.177243694531	1.66110076885267	903.344379946869	1.83989997603121e-198	4.58190291031053e-195
EIF1AX	-0.571992881874776	6.72750064867525	718.060866247515	3.53444124776496e-158	8.00165367209917e-155
RPS4X	-0.446774547114071	12.7576222796416	512.154686045706	2.1548576977979e-113	4.47186843735508e-110
ZRSR2	-0.547824139586012	5.34691984269148	469.685612761645	3.75129940695818e-104	7.18604685626766e-101
TMSB4Y	2.55497733134116	1.45904647371015	454.341807068863	8.18894933831919e-101	1.45663860980116e-97
JPX	-0.566685353553585	5.06113644705021	452.454474636836	2.10842024382606e-100	3.50039928880003e-97
PRKX	-0.535615448854345	5.27494832220456	438.551236519199	2.23745420231523e-97	3.48245762501601e-94
CD99	0.426643268984823	6.75800631336683	424.685700022951	2.33110339310785e-94	3.41479222344499e-91
FAM13A	-0.539539149577654	4.70201324522932	348.286493842836	1.0006505222555e-77	1.38439999754048e-74
TSIX	-1.65918755872604	1.98910731621945	343.609379957752	1.04429663964567e-76	1.36874311668926e-73
EIF2S3	-0.373256608137829	7.51757133318629	339.898663567778	6.71335916748128e-76	8.35913916738931e-73
RP11-424G14.1	2.13670342398617	1.33820961685575	268.427765134938	2.49789759087672e-60	2.96214970026681e-57
SEPT6	-0.328576512376661	7.43735442633564	262.867491490049	4.06896909721936e-59	4.60588806491153e-56
TXLNG	-0.469117244160197	4.64873573435933	260.728475183222	1.19049283656559e-58	1.28899317865186e-55
ZFX	-0.491808595399322	4.38987369314565	247.750242580263	8.03370331872916e-56	8.33597140609634e-53
DONSON	-0.325958646952727	7.00195996365539	244.382558876321	4.35659586205112e-55	4.33969227010636e-52
RP11-706O15.1	-0.598795104671772	3.70981639895697	242.552612087778	1.09177754220815e-54	1.04571292821575e-51
SYAP1	-0.398147189677614	4.94885692655106	216.479139199185	5.30152384561538e-49	4.88977216027259e-46
DDX3X	-0.343354585269589	5.78259228574004	215.900118951998	7.09103605633694e-49	6.30671681824853e-46
ZFY-AS1	1.86604726434645	1.27947278032426	196.647835457626	1.12558805566725e-44	9.66569632768325e-42
KDM5C	-0.558831252354586	3.56543151344713	191.629361449648	1.40179471494841e-43	1.16362979287867e-40
SOCS2	-0.428017838044998	4.19398363831049	170.849231883773	4.82712353879259e-39	3.87773733827587e-36
CXorf38	-0.452552338035766	3.99927724509632	168.826890966305	1.33472033691286e-38	1.03870439219191e-35
PNPLA4	-0.58156122653367	3.19454546097384	161.068014887776	6.61157076760014e-37	4.98933172198625e-34
SMC1A	-0.357447578873606	4.65670801843205	153.784261051873	2.58152644426237e-35	1.89081626592547e-32
SCGB3A1	0.43202832129837	3.86305597956083	151.966482371074	6.44394043118691e-35	4.58495567308136e-32
S100A4	0.22823521840484	8.7902404674503	138.700226072868	5.12216329749807e-32	3.54325646104429e-29
CISH	-0.297142565983026	5.16886264654132	133.384296958845	7.45003917980063e-31	5.01427907282636e-28
DACT1	-0.553139915677403	3.01050152835072	126.705953969456	2.1544220730335e-29	1.41188349696719e-26
KDM6A	-0.491835041725844	3.29434858223535	124.753949431708	5.76133243090009e-29	3.67883234683859e-26
FUNDC1	-0.412386506895767	3.75831683603959	121.673915820187	2.72074223876339e-28	1.69386609929812e-25
RP11-309M23.1	-1.29348379566959	1.51373686487129	110.740773290894	6.74366531451904e-26	4.09603652018214e-23
AIF1	-0.206406122283404	6.91133842200572	99.2022154327042	2.27991854171014e-23	1.3518288439097e-20
LINC00278	1.2695715690956	1.23295974954564	90.0502148627575	2.32191471181502e-21	1.34471260624022e-18
HBA2	0.307513555247753	4.10905088784465	89.4798275775211	3.09781114331135e-21	1.75329070231551e-18
CA5B	-0.274796193751328	4.53920981597887	86.0393553844317	1.7639006325586e-20	9.76142610057929e-18
