gene	logFC	logCPM	LR	PValue	FDR
RPS4Y1	4.19398172335461	8.6007252720155	36572.5989559616	0	0
EIF1AY	3.99331701872661	4.66041447035843	11922.2599547148	0	0
ZFY	3.85853369973335	2.67536895099756	2783.57023652133	0	0
TTTY15	3.84733058695618	4.15521111405222	8453.71140050488	0	0
DDX3Y	3.82553960084256	4.66528846295978	11352.565000847	0	0
UTY	3.78688966168611	3.92728842391945	7182.33656992477	0	0
USP9Y	3.55921808710665	2.93613136769618	3193.76807744608	0	0
KDM5D	3.54960368722327	3.71345433604078	5759.52009873218	0	0
XIST	-3.21736109985742	6.9122760933577	15580.9819761042	0	0
EIF1AX	-0.579436504797306	6.60847665670444	711.359627471732	1.01276023861543e-156	2.522076822224e-153
TMSB4Y	2.82932965049592	1.78088203099307	602.375887634917	5.09361663125429e-133	1.15314849971023e-129
PRKX	-0.55041433480614	5.80691975797563	533.486560430787	4.9253074944573e-118	1.02212443778725e-114
ZRSR2	-0.579563965903392	5.45016495472016	519.882506977765	4.48852924369823e-115	8.59829567352438e-112
RPS4X	-0.424467398947249	12.6216515951005	483.830436267903	3.13513408248487e-107	5.57673171829434e-104
JPX	-0.577705845351439	5.11655088128726	453.255419937399	1.41140526701423e-100	2.34321502429703e-97
DONSON	-0.380343603635099	7.07926877942949	325.013395257061	1.1719289124988e-72	1.82403410674736e-69
EIF2S3	-0.370083321518803	7.15743293843261	319.74840668377	1.6432505187718e-71	2.40716868641025e-68
TSIX	-1.58628536517603	2.08135970071931	286.197450908856	3.3505485591623e-64	4.63548393160104e-61
SEPT6	-0.33463260948812	7.27785894689155	265.91671002776	8.8078360308612e-60	1.15442916145546e-56
NLGN4Y	2.08802406935269	1.54017914169074	251.172096970969	1.4418308526163e-56	1.79529568613518e-53
RP11-706O15.1	-0.66757358592057	3.59936251118914	250.951912818215	1.61033283550279e-56	1.90962469535838e-53
ZFY-AS1	2.04750093904248	1.54914490863001	239.924710133109	4.08434187564256e-54	4.62328935132394e-51
TXLNG	-0.475232425360129	4.52400928894578	233.321445198787	1.12463819978587e-52	1.21768978648989e-49
SCGB3A1	0.630687068763598	3.55619338105489	232.925235602921	1.37219113164011e-52	1.42381982296806e-49
CA5B	-0.392920869962272	5.17116264277675	218.079421783496	2.3731153452996e-49	2.36390765775984e-46
RP11-424G14.1	1.89296843869792	1.57099281034139	208.621227307056	2.74586726007236e-47	2.63001278375316e-44
DDX3X	-0.31550844949968	6.09225495978116	192.951764195974	7.21190675742035e-44	6.6517819992607e-41
KDM6A	-0.58921796495982	3.57388409374252	192.465606781822	9.20788976273314e-44	8.1894313843337e-41
TTTY14	1.80001404350876	1.58078103359783	192.058180698941	1.13002240787454e-43	9.70377518044812e-41
FAM13A	-0.409231837919805	4.60611289451364	180.768987445208	3.29246445731649e-41	2.73307474601842e-38
