gene	logFC	logCPM	LR	PValue	FDR
RPS4Y1	2.94952963270999	9.71335434437756	166.792218171307	3.71378105157111e-38	9.24842895272753e-34
XIST	-2.08441965122387	9.26013651827515	58.4352009034546	2.10098057856184e-14	2.61603596739628e-10
EIF1AY	1.87371705290545	9.09234993755047	39.1117660340777	4.00224720060737e-10	3.32226540122418e-06
RPS4X	-0.465031737864401	12.160942125355	21.6071513963081	3.34601915028846e-06	0.0208314787249084
RBBP8	-1.11902674250692	8.9837194556675	18.7377208781767	1.4998601373028e-05	0.0747020339985031
MT-ND4	-0.448253473742151	11.6999335238943	17.4856181562466	2.89489312244149e-05	0.120152539046934
LMNA	1.23711046026725	9.03651339414295	16.7438081917506	4.27816498856748e-05	0.152198775300423
EIF1AX	-0.958412496710954	9.29934047903523	15.2818798155119	9.26005511962567e-05	0.288253940805048
SLAMF1	-0.960211624326196	8.97989048160712	14.8820758794878	0.000114445264522045	0.316670046932498
IFI27	-1.02443605059134	8.98891960985364	14.0352305923355	0.000179417405637867	0.395100842515802
GGA2	-1.12432427464309	9.01967148381322	13.9405638780872	0.000188682392786487	0.395100842515802
KIF11	-0.894961950590534	8.96878855354135	13.9236568358605	0.00019038710638034	0.395100842515802
FOSB	-0.897910941068346	9.2983510054709	13.5859013528818	0.000227890665493468	0.436550864829525
BTG2	-1.03152659482309	9.14025721547269	13.1269449768747	0.000291079021701056	0.493736781205005
MT-ND2	-0.391265141494469	11.6555253970459	13.0273387276634	0.000306976472747827	0.493736781205005
UTY	0.87353411599547	8.97347255551795	12.9658620499345	0.000317222362738629	0.493736781205005
TMIGD2	-0.835768354095672	8.96947161221014	12.298767217236	0.000453257573953142	0.663969021420888
NFKBIA	-0.784817592885196	9.41275328111621	12.0349526577911	0.00052212160460029	0.714335218328138
CSTF2	-0.967731390590463	8.98748394275784	11.95499956633	0.000545009402410738	0.714335218328138
ALAD	0.819622448423387	8.97216124760318	11.7744552970842	0.000600490815454549	0.747701138863232
STRA13	-0.716520593933989	9.49741864772316	11.2664140868245	0.000789220367014776	0.935902609512808
DTD1	-0.983419668908517	9.06639945585052	11.0991826902419	0.00086365773151431	0.946374302011106
NAPEPLD	0.761968329328945	8.96479195818828	10.9963416441128	0.000912919046700797	0.946374302011106
GLG1	0.988257563147401	9.07799992070539	10.9271463047642	0.000947653524580219	0.946374302011106
TIMM8A	-0.906797514046061	8.98018418084372	10.9224466688029	0.000950060536894256	0.946374302011106
PPP3CA	-0.967203063910344	9.08229143346166	10.6515320566143	0.00109979765792681	1
AP1S2	-0.908551351223104	9.14589116054154	10.4697378841845	0.0012134593442474	1
SERPINB6	0.926067711097053	9.12831664059963	10.3849070468606	0.00127049583676267	1
