gene	logFC	logCPM	LR	PValue	FDR
TTTY15	3.99362308051717	4.21496940646556	5583.24004859603	0	0
RPS4Y1	3.97188807731671	8.31630147044606	25119.7439066067	0	0
ZFY	3.63570254815932	3.04461907138934	1905.09079179409	0	0
EIF1AY	3.62993237738444	4.42336994019943	5710.3992391982	0	0
DDX3Y	3.59913591270328	4.65699725346544	6489.62153950403	0	0
UTY	3.58934511041226	3.96922024968858	4169.3766593062	0	0
KDM5D	3.58917491183213	3.94307307305514	4113.00000877948	0	0
USP9Y	3.29400332597038	3.15874487830982	1888.02322288156	0	0
XIST	-3.22913866656874	6.91178670879395	11416.6466001187	0	0
PTGDS	0.672922468250678	5.74166160929177	551.388637118662	6.27922167179409e-122	1.56371457292688e-118
EIF1AX	-0.556339338283962	6.52697290436092	466.847867571704	1.55489348694939e-103	3.52013750050007e-100
TMSB4Y	2.51841339230646	2.29197045778564	398.731958941549	1.03985391659418e-88	2.15795684041208e-85
ZRSR2	-0.569002309416023	5.4514173919037	338.344415768835	1.46362541210654e-75	2.80374335674531e-72
RPS4X	-0.347490557033322	12.3164383958741	278.913273995316	1.29543067841389e-62	2.30429358461007e-59
DONSON	-0.379287671455961	7.15888632154792	241.736007930827	1.64506807408224e-54	2.73114201659133e-51
EIF2S3	-0.383411325304162	6.55006762377532	225.58133391197	5.4830205359557e-51	8.53397877543155e-48
PRKX	-0.453334093878012	5.53505016912143	222.85251519868	2.15871382115138e-50	3.16226178165487e-47
JPX	-0.460392136907346	5.14861598641632	193.333130796119	5.95405664656357e-44	8.23743737052071e-41
TXLNG	-0.532589586778783	4.37850476083035	169.889183910471	7.82293770604762e-39	1.02534009312476e-35
SEPT6	-0.299787578356173	7.04088628115533	154.65517664358	1.66551590974242e-35	2.07381713501577e-32
ZFY-AS1	1.64669386395426	2.1010794236292	148.867027798908	3.06624291787618e-34	3.6361260658986e-31
DDX3X	-0.335072963937877	6.06250310841369	148.754273318226	3.24528823571233e-34	3.67351876972474e-31
TSIX	-1.34125074300521	2.43862914232094	142.009212903431	9.67981088880907e-33	1.04807100245223e-29
RP11-424G14.1	1.64317232330821	2.12595697765731	141.674423766511	1.14570011919538e-32	1.1888070861801e-29
KLRC1	0.422922283453182	4.82836894542748	141.444746715949	1.28615171735789e-32	1.28116144869454e-29
GZMB	0.252893806233444	8.91537164427895	140.832945779155	1.75013470841013e-32	1.6762924862899e-29
CXorf38	-0.502839261965529	4.21991245801174	137.76190289158	8.21601329863319e-32	7.57790293243935e-29
CA5B	-0.41850405282357	4.66657213149651	124.66886946443	6.01372646612851e-29	5.34856536378566e-26
C1orf162	-0.299186965895739	6.12618630648056	123.138143657954	1.30070141179035e-28	1.10387350915442e-25
KDM5C	-0.514121382262589	3.9957989349252	123.094233138886	1.32980786550345e-28	1.10387350915442e-25
ZFX	-0.400947243035151	4.71336038932956	117.434017607903	2.30646884946353e-27	1.85283850832872e-24
LINC00278	1.42128308476305	2.08536548779709	111.09668531246	5.63541562967053e-26	4.38558610705267e-23
