gene	logFC	logCPM	LR	PValue	FDR
RPS4Y1	3.80951273114473	8.70707169549991	3216.80088251292	0	0
XIST	-3.48563404262581	8.10953092923519	1801.30138056849	0	0
EIF1AY	2.90203317683975	7.16606066749911	654.284204765573	2.61448242843005e-144	2.17028186383978e-140
DDX3Y	2.72143663681858	7.16412590020205	594.263548832703	2.9616431314941e-131	1.84384497258994e-127
HBB	-1.8724864014502	7.43926362637046	354.588220634721	4.24627245615266e-79	2.11489845951139e-75
UTY	2.25224309313046	6.89609932838072	287.726027087053	1.55611270189038e-64	6.45864576919602e-61
ZFY	1.90319062161683	6.836670959958	203.17899161336	4.22796515729797e-46	1.50412880445987e-42
KDM5D	1.88102127501352	6.86806295843203	196.873810870334	1.00476066000874e-44	3.12769433952471e-41
TTTY15	1.78232251124886	6.88298789051791	181.787324558298	1.97326433308477e-41	5.46002240964556e-38
RPS4X	-0.495023146641908	12.2112262253982	130.618139501856	3.00127744357946e-30	7.47408121774593e-27
MYL9	1.34936816988305	6.8337906278119	115.719948015494	5.47385581840699e-27	1.23923119496172e-23
HBA2	-1.21769151955522	7.09750604117006	108.320140268459	2.28688893305619e-25	4.74586625832486e-22
USP9Y	1.32861195330868	6.79884388340972	98.8593917922752	2.71081443319296e-23	5.19287783306187e-20
TMSB4Y	1.0978682524709	6.76625401222011	78.3131558329294	8.79342696158908e-19	1.56416222588895e-15
AC079767.4	0.96443923697014	6.94476728839653	72.3739278306709	1.78050802414731e-17	2.95599942168937e-14
FCER2	0.831859704359476	7.07276671717016	69.9865248996311	5.97109682591283e-17	9.2936390159817e-14
EIF1AX	-0.552065994204849	7.83543280310512	64.8474013289408	8.09287376134292e-16	1.18551079575719e-12
HBA1	-1.02725035080369	6.93954902190181	60.9119490893738	5.96854688744278e-15	8.25748461877709e-12
APOD	0.859774352473619	6.76007819731486	53.5930484090896	2.46630550185117e-13	3.23254767961051e-10
TTTY14	0.817163657216793	6.74925715147971	51.9343274352462	5.73882940516519e-13	7.14570343384144e-10
FCRL2	0.84418816589014	6.79250078199573	45.7189120695219	1.36498537409423e-11	1.61867765576518e-08
IGFBP4	0.804381006834337	6.76558481410274	45.5763757125261	1.46801513118701e-11	1.66172640054319e-08
JUN	0.343793848784562	8.96279735568765	43.5404325659879	4.15289600908048e-11	4.49650301365788e-08
ARL4C	0.344041164698849	8.734688268453	41.233858454058	1.35062594641869e-10	1.4014432476527e-07
TSC22D3	0.358134100124588	8.48722830764151	40.7226636509799	1.75440584926086e-10	1.74759875456573e-07
RP11-1143G9.4	0.287253232688404	9.49835439097594	34.8825684058575	3.50202229557679e-09	3.35426389333649e-06
DONSON	-0.406093214586822	7.86547271852184	31.6144004871794	1.8803006806946e-08	1.73426399449399e-05
DMD	0.639293550651868	6.75896357567474	31.1162540309364	2.43027813139578e-08	2.1614720109339e-05
PPAPDC1B	0.553168596956126	7.08419033919714	30.6854028832731	3.03439230696854e-08	2.60570591794612e-05
CD79A	0.434978783144749	7.46053190019065	30.4763976030295	3.37953225851263e-08	2.80534972779133e-05
HNRNPH1	0.305591734407511	8.46923131726453	29.9772390338949	4.37147584358216e-08	3.51170525589441e-05
WASH4P	0.396255672308133	7.62136287515249	28.5400813595172	9.17787715740852e-08	7.14239608909201e-05
TRAM1	0.325328585660974	8.01808245791588	26.7311741375469	2.33818652252976e-07	0.000176448057486541
FAIM3	0.562095125860952	6.98938368841395	26.5632045720374	2.55055451410839e-07	0.000186813114896592
CLEC9A	0.611071704135337	6.96607574662462	26.0202252130796	3.37859325587502e-07	0.000240391736717302
SRSF6	0.355282810075948	7.70982540060235	25.1715617326784	5.24499418863439e-07	0.000362822472998784
RPL17	0.243216261817965	9.48878599841302	24.5184587802339	7.36013396532e-07	0.000495376800373957
FMOD	0.45419155633808	6.73756720150309	24.3980323676006	7.83486750918283e-07	0.000513451856792579
AREG	0.551356498990224	7.02626031821866	23.7721673347764	1.08439232485925e-06	0.000692426206819743
KLF9	0.500974879314899	7.10440811472784	23.2511089456523	1.42168448630937e-06	0.000885105219064055
