gene	logFC	logCPM	LR	PValue	FDR
CD3D	-4.36781612769714	9.97863864210529	8.75097116760193	0.00309437221913967	1
C5AR1	-4.16748842506273	9.69259341848726	7.80557164664167	0.0052085386440283	1
IFI30	-3.97965196653014	9.61940095582094	7.66102919922148	0.00564263073572072	1
HIST2H2AA3	-3.84888149768344	9.61940095582094	6.73593794248553	0.0094489536926128	1
BCL2A1	-3.84888149768344	9.61940095582094	6.73593794248553	0.0094489536926128	1
POLR2I	-3.84888149768344	9.61940095582094	6.73593794248553	0.0094489536926128	1
ANKRD12	-3.77889315838817	9.67999955223493	6.57141105348814	0.0103629757430127	1
TMBIM4.1	-3.56548665898598	9.54248239651778	6.37739648629935	0.0115582860379546	1
RPL37A	1.64612195479974	11.6574688018634	6.20875620795299	0.0127119916171094	1
YWHAB	4.0421946466048	9.95778193008442	6.12526003729498	0.0133263684337565	1
RPS8	1.40310502041765	12.2095145544355	5.89397915795263	0.0151927334193784	1
S100A9	-2.41307664382478	10.1592536583523	5.64269263825307	0.0175282673312993	1
RPS19	1.18072249881721	13.5063583245402	5.58670564350421	0.0180973012189964	1
TUBA1A	-2.28195185260818	10.2620805623864	5.5298835301954	0.0186943497224094	1
FAM110A	-3.43153018666365	9.54248239651778	5.36415161426428	0.0205547844173257	1
GHITM	-3.40959839305914	9.5381239629638	5.32432956722784	0.0210296975280948	1
TRA2B	3.83859535211776	9.94129359772754	5.32115245429874	0.0210680732530681	1
PTPRCAP	-3.64238907878942	9.73768524970425	5.27434609384855	0.0216419152276582	1
MEF2C	3.80624852866936	9.914641875022	5.15086761361268	0.0232347609494883	1
UQCRB	2.68854971804246	10.3003478100518	5.08834985068944	0.0240871008335224	1
NOSIP	-3.45763730108458	9.67580708990154	4.9108500258895	0.0266885040909011	1
DDX18	-3.27366413166011	9.54248239651778	4.89183396387222	0.0269840076827279	1
SP100	-3.27366413166011	9.54248239651778	4.89183396387222	0.0269840076827279	1
PLAC8	-3.27366413166011	9.54248239651778	4.89183396387222	0.0269840076827279	1
TUBB	-3.27366413166011	9.54248239651778	4.89183396387222	0.0269840076827279	1
TAPSAR1	-3.27366413166011	9.54248239651778	4.89183396387222	0.0269840076827279	1
WAS	-3.27366413166011	9.54248239651778	4.89183396387222	0.0269840076827279	1
COX5A	-3.27366413166011	9.54248239651778	4.89183396387222	0.0269840076827279	1
LSP1	-3.24172325977341	9.81697311557427	4.87221286581116	0.0272924814267545	1
NUDC	-3.2466246849744	9.5381239629638	4.83175561869754	0.0279401653426445	1
LMO4	-3.2466246849744	9.5381239629638	4.83175561869754	0.0279401653426445	1
ARHGAP30	-3.2466246849744	9.5381239629638	4.83175561869754	0.0279401653426445	1
CCDC12	-3.2466246849744	9.5381239629638	4.83175561869754	0.0279401653426445	1
ZNF292	-3.2466246849744	9.5381239629638	4.83175561869754	0.0279401653426445	1
GTF2I	-3.2466246849744	9.5381239629638	4.83175561869754	0.0279401653426445	1
TERF1	-3.2466246849744	9.5381239629638	4.83175561869754	0.0279401653426445	1
FERMT3	-3.2466246849744	9.5381239629638	4.83175561869754	0.0279401653426445	1
RIOK3	-3.2466246849744	9.5381239629638	4.83175561869754	0.0279401653426445	1
TBC1D20	-3.2466246849744	9.5381239629638	4.83175561869754	0.0279401653426445	1
COX17	-3.01162499299303	9.46144030816017	4.80067640637403	0.0284485656695269	1
CD86	-3.01162499299303	9.46144030816017	4.80067640637403	0.0284485656695269	1
CCNH	-3.01162499299303	9.46144030816017	4.80067640637403	0.0284485656695269	1
CTSD	-3.01162499299303	9.46144030816017	4.80067640637403	0.0284485656695269	1
UCP2	-3.01162499299303	9.46144030816017	4.80067640637403	0.0284485656695269	1
CNIH1	-3.01162499299303	9.46144030816017	4.80067640637403	0.0284485656695269	1
TMOD3	-3.01162499299303	9.46144030816017	4.80067640637403	0.0284485656695269	1
ANP32A	-3.01162499299303	9.46144030816017	4.80067640637403	0.0284485656695269	1
PRR24	-3.01162499299303	9.46144030816017	4.80067640637403	0.0284485656695269	1
RPL23	1.74015784934439	11.0852077611981	4.67675603677277	0.0305734306122603	1
EIF3D	3.77216509655899	9.83634673065753	4.51524122456213	0.0335941485985179	1
TAP1	-3.20231004020663	9.60657539966239	4.32808719106667	0.0374883519890308	1
NCOR1	-3.20231004020663	9.60657539966239	4.32808719106667	0.0374883519890308	1
RPS27A	1.14867282768077	12.5411944902369	4.30410326798682	0.0380205347909667	1
KLRB1	-3.17414257683341	9.60230654587831	4.27118616673085	0.0387638619843273	1
GAPDH	-1.49819240397545	10.9988163772686	4.23012276344941	0.0397125680982799	1
KLF4	-2.93323148000596	9.7615139376236	4.22152769789612	0.0399142085920275	1
LYPD2	1.48840510712346	11.229967907069	3.92155442448889	0.0476707833761736	1
NOP10	3.417881623092	9.74270724987016	3.87292302136994	0.0490709896791543	1
ANAPC16	3.40938950997709	9.72226043502558	3.84971716208882	0.0497543802804614	1
ATP6V1G1	3.38883686166893	9.7333140912157	3.83190995333761	0.0502856006368803	1
RGS2	2.4011110968881	10.2345567264135	3.75582296019532	0.0526238848042033	1
RTF1	3.34838855444502	9.73761600886201	3.74893989979796	0.0528410145165039	1
LSM10	-2.85141545659839	9.74591465740319	3.70981137743466	0.0540935036106856	1
PGD	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
ELOVL1	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
MED8	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
AKR1A1	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
PLEKHO1	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
TNFAIP8L2	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
MRPS14	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
SRGAP2	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
RAB10	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
SLC8A1	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
RTN4	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
UNC50	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
CHCHD5	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
DARS	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
RBMS1	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
COQ10B	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
CRBN	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
CSRNP1	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
RBM15B	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
TRMT10C	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
TNIP2	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
ARAP2	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
COMMD8	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
DCK	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
IL8	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
USO1	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
TMA16	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
NDUFS4	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
CWC27	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
REEP5	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
DDX46	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
NR3C1	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
TCERG1	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
CNOT8	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
MRPL22	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
STK10	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
BOD1	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
RUFY1	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
CANX	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
SERPINB6	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
RREB1	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
GMPR	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
PRR3	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
PHF3	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
LMBRD1	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
TMEM30A	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
FAM46A	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
SNX14	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
OSTM1	-2.83921181114939	9.46144030816017	3.69012234515043	0.0547356011568399	1
