gene	logFC	logCPM	LR	PValue	FDR
HBA2	2.31544244826148	13.0279841332649	514.427098951892	6.90260097991719e-114	1.71895472202878e-109
HBA1	2.29833911266732	12.415281355768	482.529222075531	6.01718796207322e-107	7.49230159097547e-103
HBB	1.7945351789382	14.0911932184615	334.221754041873	1.1569140819496e-74	9.60354379426362e-71
RPS4Y1	3.18657194262088	9.54041912073524	242.508973226356	1.11596088037777e-54	6.94769345101188e-51
XIST	-2.49816307897116	9.28438844280688	94.9872698827318	1.91613524833008e-22	9.54350321783281e-19
LYZ	1.48461870110528	9.14543648106168	37.9320982165651	7.32501213190023e-10	3.04024628534519e-06
TTTY15	1.37001523899638	8.91779271717104	33.1850433807672	8.37925690956916e-09	2.9809804974143e-05
RPS4X	-0.556244788884926	12.7065069255615	30.6396768879699	3.10675143744424e-08	9.67092888083424e-05
DDX3Y	1.06023417360524	8.8986816609034	22.1082240609014	2.57703341495341e-06	0.00713065145917608
RP11-1143G9.4	1.10125441703899	8.94175060440813	18.0991730898056	2.09692476722074e-05	0.0522197174780981
EIF1AX	-1.12872960030783	9.07903119114485	17.7334718434134	2.54115701673172e-05	0.0575294847160636
EIF1AY	0.951199473860103	8.90330307307418	16.4430313481473	5.0134134903921e-05	0.104040863459362
C6orf136	-0.761461007126382	8.89177243629962	14.0027316691057	0.000182545236578036	0.34968646357714
S100A9	0.882509775124879	9.16006226260805	13.4905016662242	0.000239774082833794	0.426506713200713
CSPP1	0.75103094493236	8.88537620141162	12.8044747807269	0.000345791278437023	0.574082680461145
HIST1H2BJ	0.670192151036469	8.87518115457509	12.487053778486	0.000409781953171741	0.637799998739741
DUSP1	0.579666740271264	9.67731720122865	11.8074450988868	0.000589943330104409	0.8641975735053
TMUB2	-0.817621086002118	8.91128916868948	11.1243783687464	0.000852004261286479	1
AC115618.1	0.519040266945111	8.87070589765414	10.9712359986135	0.000925370194102101	1
PEF1	-0.594574321169211	8.88336046834841	10.7848857771495	0.00102332218739548	1
DENND6A	-0.625572979453852	8.88410707987671	10.6388078141843	0.00110739037662288	1
C5orf55	0.527002104932462	8.87074723206964	10.4671439731491	0.00121516437066221	1
TRAM1	-0.854393279146009	9.06091134459234	10.035481549706	0.00153553399382723	1
CA11	0.836232837727863	8.89931173449607	10.0183686143114	0.00154986686520045	1
ELMO1	0.84323569169689	8.94709373775894	9.76507323467249	0.00177858430407397	1
MAF	-0.541320093206784	8.87884735814807	9.70078070750149	0.00184189742567659	1
DRG1	-0.833760230501433	8.9219895552478	9.69285017864549	0.00184986381053314	1
DCUN1D5	-0.555696573107416	8.87953435282552	9.65205681033683	0.00189139688146858	1
FGL2	0.560308237289258	8.87162546466163	9.61912508906994	0.00192561447102186	1
ZRSR2	-0.817347416013378	8.93966258581378	9.53728810784293	0.00201339011914383	1
TTC13	0.504864031096736	8.8698926441494	9.52434981609454	0.00202763411357673	1
KDM5D	0.698637077404295	8.88430345792696	9.51606179184394	0.00203681219430258	1
LRRC8A	0.479503748500462	8.86896954948402	9.51379516223581	0.00203932956644271	1
ZBTB2	0.51944803421801	8.86997874602838	9.50059497875815	0.00205405281461852	1
RCC1	0.494002143462049	8.86937282027474	9.46661609270851	0.00209245007020275	1
CDC34	0.48022785089625	8.86905539950904	9.38367481151487	0.00218926252218855	1
UTY	0.608994073035461	8.877539950184	9.27825980139399	0.00231889629402845	1
RPL7L1	-0.84400227165496	8.94110332264659	9.19456934255258	0.00242734191646713	1
HELZ2	0.671903499512603	8.88881111642678	9.06612919358138	0.00260387685823852	1
CSTA	0.600579578013671	8.87676573273526	8.96142384191025	0.00275739909242157	1
NNT-AS1	-0.632418964400259	8.8897016083947	8.8695925958425	0.00289959844741098	1
EXOC5	-0.478451565853999	8.87646874731754	8.7174608221355	0.00315176701889573	1
GPX1	0.732733630604593	9.10528274392304	8.69176436013893	0.00319651050910668	1
PPP1R15A	0.610841542101828	9.32112778170753	8.67246258952378	0.00323054346266639	1
PGD	-0.532520477264172	8.87820367694563	8.64836764437953	0.00327354507532128	1
TAF1B	0.460417187408913	8.86836567954217	8.64396215075852	0.00328147012776551	1
SPIN1	-0.521194959894831	8.87757139017518	8.632490264177	0.00330219855701771	1
LPCAT3	0.475164481134115	8.86840929403314	8.58126045132591	0.00339640182169306	1
TRIM66	0.4000867379542	8.86660085579276	8.45455984430997	0.00364129360879372	1
BROX	-0.736395970388425	8.92772966194518	8.40565559262289	0.00374055476571417	1
ZNF845	0.455151249799697	8.86848321284609	8.34507586152836	0.00386734016243649	1
RAD52	-0.467703925488302	8.87579806694824	8.34396033296287	0.00386971536720515	1
JUN	0.359402802414859	10.3573311786832	8.32402720804339	0.00391240844076289	1
PIK3CB	-0.4266545007708	8.87388287563095	8.25174050358946	0.00407129454857894	1
FOXJ2	0.378099820274263	8.86593177388256	8.19431521754264	0.0042021852359559	1
CSRNP1	0.775031506332346	8.91129397437418	8.1814338521513	0.00423212945416191	1
COG5	0.605138165867951	8.8795228458292	8.18118370683094	0.0042327130906398	1
SMOX	0.596472978835372	8.87135314861293	8.17546874020413	0.00424606953209633	1
VPS28	0.665211590812429	9.18209747739003	8.04933539965853	0.00455203505980777	1
PRDX5	-0.757978716812383	9.0708548492955	8.03605972883625	0.004585517501317	1
NARS2	-0.461359487330107	8.87493147667555	8.0124098995202	0.00464578720971376	1
ABCD3	-0.438722587737408	8.87393979195357	7.98564208060651	0.00471497704190818	1
ANAPC15	-0.755146342579749	8.95235111957444	7.94690719111499	0.0048169626769621	1
KIAA0368	0.392670738985138	8.86619603348643	7.8848826881513	0.0049849711697418	1
PTPRE	-0.680896652687224	8.90000275342877	7.81351839045792	0.00518568446468357	1
CCDC51	0.374684175183874	8.86568708504292	7.80399645284209	0.00521308094917163	1
TMEM106C	-0.641329309837172	8.89796072609155	7.78083309001254	0.00528034413721617	1
EPHB6	0.616400682410785	8.88319706476087	7.76170389897197	0.00533655928603059	1
GABPB1	0.349184614220295	8.86531661978653	7.76141532793658	0.00533741196794134	1
SERPINB9	0.72487723059462	8.91619896299156	7.70448460810576	0.00550837986934763	1
SLC16A7	-0.466308039628586	8.87502217287219	7.69505938312848	0.00553721879919259	1
SDR42E2	-0.789781122584043	8.95718483007473	7.63298143029166	0.00573104885180867	1
PAXIP1-AS2	0.375192748093722	8.86553647407483	7.62951180128439	0.00574208433326638	1
POLR2C	-0.741676001262244	8.98428093915895	7.60106223562119	0.00583339233019068	1
C12orf42	0.332678003955182	8.8645373119776	7.55582299967723	0.00598164742413018	1
ZNF629	0.370944379513372	8.86549730049851	7.44778796749164	0.00635144588559811	1
S100PBP	-0.637184711008191	8.90146378875253	7.43057089509307	0.00641249949449856	1
PPHLN1	-0.742700798925916	9.04607995504036	7.36148424105568	0.00666357630308926	1
SLC20A1	-0.676907316399674	8.91808475093766	7.3553073115914	0.0066865079911178	1
STYXL1	0.614345848173081	8.87847905736038	7.35253645398497	0.00669682089492371	1
RNF44	0.705091083640458	8.93321758029836	7.35233928941624	0.00669755534395002	1
TNIP1	-0.699474564396611	8.94484621325125	7.35166346161797	0.00670007346449197	1
SNAP29	-0.432142385391702	8.87354807895763	7.31048293837995	0.00685535006794732	1
NPHP3	-0.683529853389247	8.91396943464725	7.30025218894141	0.00689449330135417	1
C6orf211	-0.423434615548248	8.87422046043297	7.24156494519393	0.0071234864317325	1
AKIRIN1	-0.721271355407344	8.95921313658227	7.20716054797218	0.00726132823746531	1
STAT4	0.722559769635178	8.97988962873879	7.20511076146894	0.00726962626799551	1
SERTAD1	-0.700981231234423	8.91697916525604	7.20388091927474	0.00727460961664022	1
XRCC4	-0.431828558153068	8.87317308312813	7.09552779816424	0.0077276531745909	1
BLCAP	0.640507537779706	8.89976545993521	7.04171251389847	0.00796328536097891	1
FAM43A	0.320402066148207	8.86401088705716	7.02745637558664	0.00802692876137785	1
EDA	0.320791544105238	8.86390432361756	7.02531896868788	0.00803651549256052	1
RP11-222K16.2	0.492950204970463	8.87512976449401	7.02358068907741	0.0080443206858633	1
