gene	logFC	logCPM	LR	PValue	FDR
RPS4Y1	3.84656396706659	9.43233497327583	1378.98171332201	7.75839823087793e-302	1.93207391143553e-297
XIST	-3.02847476135301	8.95500419225853	601.668383900207	7.25960668866343e-133	9.03929926838927e-129
EIF1AY	2.55853813660144	8.44580323253394	296.523402982653	1.88460033861277e-66	1.56440674108246e-62
DDX3Y	2.00197544999793	8.35747607551114	169.961390087852	7.54395836758733e-39	4.69667988070068e-35
HBB	-1.43309973662653	8.66226228596355	132.142726037793	1.39239827938829e-30	6.93497887032129e-27
HBA2	-1.3149535441272	8.42954199495114	77.3951198745899	1.39960600136388e-18	5.80906470866079e-15
RPS4X	-0.47663442860559	13.3080694287964	75.4454068772038	3.75651075800965e-18	1.33640553438163e-14
TTTY15	1.17601220903962	8.27219606761194	61.195688087879	5.16745784096735e-15	1.60856503267012e-11
CLC	-1.18900681205446	8.39662937751633	59.962088557581	9.67022289055473e-15	2.67575067381649e-11
UTY	1.11315368050706	8.26287883269266	57.8680452252295	2.80303763142054e-14	6.98040461352656e-11
KDM5D	1.06865177895534	8.26566241665279	51.7386525061631	6.34022017165368e-13	1.4353682084972e-09
ZFY	0.909865694541054	8.24350592762092	47.9246625914981	4.42915045770205e-12	9.19159448734619e-09
VIM	0.399371910774276	10.752813078428	37.9669056773794	7.19548656361683e-10	1.37837847610577e-06
WASH4P	0.678527668767073	8.71749542345169	37.4645672282138	9.30888284926021e-10	1.65585078282234e-06
TTTY14	0.578044974832327	8.22621983938316	30.3366826485553	3.63191959475539e-08	5.96655908691779e-05
TMSB4Y	0.706444218833102	8.23731949199991	30.2319249455526	3.83347168576817e-08	5.96655908691779e-05
SET	0.440147257004161	9.44179717162216	29.0872922264748	6.91893361951492e-08	0.000101354237603988
HBA1	-0.807260920343992	8.31403911362628	25.7357587186027	3.91505318074817e-07	0.00054164760755651
USP9Y	0.652264962249141	8.23672687147062	25.1366040360763	5.34093754957956e-07	0.000700028251564104
MPO	0.670353733211743	8.42438109684927	22.0482833812773	2.65877354309879e-06	0.00331057187718946
DONSON	-0.495943623285732	8.8314726913978	21.1204875910489	4.31292319919248e-06	0.00511451078235668
HNRNPH1	0.394783797828654	9.22850652007723	20.6053408306429	5.64384460353915e-06	0.00638857555281525
ANKRD28	0.33619687812195	9.82123014152823	19.9329062248945	8.0207858681306e-06	0.00868441871626332
EREG	0.431885697439381	8.89053038256903	18.446383100289	1.74752189375506e-05	0.0181327240500759
RCHY1	0.658548108576784	8.33417204170885	18.2672898410975	1.91975482166788e-05	0.0191230617295981
S100A10	0.472478568349908	8.70919682482257	18.1161901727428	2.07826818369896e-05	0.019905812530252
IARS	0.60852014542473	8.40633825604302	17.9929829380229	2.21720769112482e-05	0.0204500456044746
ATP1B1	0.537660657120202	8.521239339665	17.7453090887093	2.5253942524148e-05	0.022326534548161
S100A6	0.357859987900519	9.32576191330467	17.6899504755504	2.59996587518239e-05	0.022326534548161
TNFRSF1A	0.523858699284119	8.54161714309369	17.329172294343	3.14324299447187e-05	0.0256105064505873
ACY3	-0.468075660358324	8.71525252448789	17.3022612371785	3.1880725212553e-05	0.0256105064505873
MRPL54	0.505086422223151	8.57602586795616	17.012591184514	3.71327584030793e-05	0.0284132146896875
BEX1	0.551488132857964	8.47616001896309	16.9862486304697	3.76515313319555e-05	0.0284132146896875
SETD5	0.557552822915717	8.45528414582702	16.6049011304174	4.60319125545993e-05	0.0337156681866819
CMSS1	0.549922077836421	8.45128152217988	16.0227110294172	6.25871935291024e-05	0.044531682298721
CREB1	0.572173973263814	8.4095842441926	15.9635103250321	6.45752496243673e-05	0.0446328902149423
JUN	0.279337070744686	10.1960999284937	15.9132179929845	6.63139757440013e-05	0.0446328902149423
AVP	0.409666558420163	8.83725278236018	15.7434324712015	7.25393365195706e-05	0.0475380815091281
IFITM2	0.420270238296183	8.78036065298143	15.6219311363733	7.73522269935223e-05	0.0489361892656612
EIF5A	0.357272180873913	9.1224225861508	15.5916030085791	7.86028820072461e-05	0.0489361892656612
NBEAL1	0.378705587041026	8.98168768897379	15.4822722164561	8.32826941567361e-05	0.0505850959167122
CASP3	0.550819477147918	8.43286021958446	15.3917823602394	8.73674166070234e-05	0.0518026375182072
NDUFB1	0.35136741773094	9.13889132646032	15.136085195969	0.000100032846230935	0.0579329760392785
MUTYH	0.589500210470732	8.34016401672405	14.8115543310494	0.000118805361546199	0.0660546125960937
RP11-301G19.1	0.408191134466782	8.22259129472112	14.8027482699612	0.000119361425001976	0.0660546125960937
NUDT3	0.462593776698832	8.58636460640594	14.5089448039566	0.00013949560974792	0.0728098613951655
LINC00299	-0.324853041063	8.21934855772206	14.5053493134381	0.000139762105515716	0.0728098613951655
SEPT11	0.419056156404988	8.72279252297795	14.4975835395845	0.000140339450948397	0.0728098613951655
TUBB2A	0.385028490487798	8.22175460468922	14.381765531759	0.00014924051501746	0.0758476846016286
SH3BGRL3	0.300580504395622	9.56896073785611	14.3408649140022	0.000152517931101687	0.0759630807645064
COMMD9	0.518538777929075	8.45132654869014	14.2884734291941	0.000156822241015279	0.0765753778039899
TACC1	0.506437541474445	8.4691268215123	14.2465053675578	0.000160358291377636	0.0767962025034091
CLEC11A	0.390688363381223	8.82378027425203	14.090869847994	0.00017418724211451	0.0818449979316537
SKAP2	0.473468404881507	8.53314980590937	14.0476078872142	0.000178240407825278	0.0821985347420909
PFKM	0.572251394222013	8.26730517687642	13.9483775408215	0.000187899755221691	0.084300578035917
MYADM	0.356115985806373	8.99334817727664	13.915180559683	0.000191247588055494	0.084300578035917
RP11-165P7.1	0.295010512490546	8.21615461786856	13.8984845941466	0.000192953979361814	0.084300578035917
CERCAM	0.536023471536916	8.24562642846031	13.8228309757478	0.000200880348363274	0.086250401987769
IGLL1	0.40804909300679	8.75340919345251	13.7029787234862	0.000214114614082995	0.0903745124493023
ABCE1	0.510109039001705	8.43622566027825	13.44779747347	0.000245293985745495	0.101385675430433
TPI1	0.310158059965776	9.32497364420979	13.3996048819818	0.000251677308170819	0.101385675430433
FABP5	0.375498954907658	8.84904455867298	13.3941087648426	0.000252415848559887	0.101385675430433
NAALADL2	0.392109488264167	8.22313648776341	13.1817375337512	0.000282690526647659	0.111743526747725
HIST2H2AA3	0.468107248240653	8.5092264701073	13.0773653135825	0.000298885559050116	0.115998183369146
C1QTNF4	0.456389616437275	8.54317206253412	13.0531792519554	0.000302770024454663	0.115998183369146
CSF3R	0.409785223343914	8.66710312685889	12.8543123686326	0.000336702410538106	0.127043941358037
BIRC3	0.559421091800434	8.28237137156416	12.7561185324761	0.000354846487204207	0.128239347316207
XRCC5	0.393736716158853	8.72621130003898	12.7475133539332	0.000356482786253973	0.128239347316207
CA1	0.556074279954618	8.28473162858952	12.7382365980245	0.000358255313008185	0.128239347316207
