gene	logFC	logCPM	LR	PValue	FDR
RPS4Y1	3.89480087801466	8.76660089906362	5563.15992386454	0	0
XIST	-2.91756109549809	7.5623568883128	1494.97658474964	0	0
DDX3Y	2.83551334426453	6.46007639198246	681.996943004956	2.45844137197593e-150	2.04075218287722e-146
EIF1AY	2.90212606213927	6.40250047281372	645.782121026902	1.84680605836629e-142	1.1497752817874e-138
TTTY15	2.61524334863604	6.31302504964603	467.233833786216	1.28147593229465e-103	6.38251902838671e-100
UTY	2.19235507983362	6.24074361725512	303.054390771043	7.1175992671501e-68	2.95415957583065e-64
KDM5D	1.93208619729713	6.20285246274402	224.807933808457	8.08538777341713e-51	2.87643445316295e-47
ZFY	1.80434193080134	6.12772179788304	185.479413262444	3.08417237360222e-42	9.60064307747701e-39
RPS4X	-0.464134601111411	12.5720323664349	175.296754685259	5.15707433125574e-40	1.42696246745846e-36
USP9Y	1.71036542375321	6.12789892350818	164.36495822757	1.2590269649965e-37	3.13535485093078e-34
EIF1AX	-0.744355860455775	7.60704204023244	162.441971780298	3.31231293675081e-37	7.49877536944594e-34
EIF2S3	-0.531704786552831	7.62899970609616	86.5339682613094	1.37357654816614e-20	2.85051473158178e-17
DONSON	-0.467282358880243	7.74346842939292	71.3170655844442	3.04193334746833e-17	5.82717431938492e-14
ZRSR2	-0.684644928721344	6.81694245056321	68.8309783909082	1.07274306445257e-16	1.90818003814731e-13
CPNE2	-0.625645173063238	6.7881632101942	57.5161488060028	3.35215733793377e-14	5.56525161243764e-11
DDX3X	-0.484441419197945	7.27371500103897	55.8820239045131	7.69529778114053e-14	1.19772500402339e-10
TXLNG	-0.72305571916407	6.51600240629979	51.1195088639887	8.69102315188135e-13	1.27313264441942e-09
PRKX	-0.537048470761853	6.89704505926575	47.7830793475027	4.76083247616665e-12	6.58661173077655e-09
CXorf38	-0.73797929137816	6.4337540536489	45.7915515551167	1.31529582607833e-11	1.72393747141203e-08
KLRC1	0.521869857098177	6.7936940336161	43.3018487810436	4.6914003736006e-11	5.84149717518879e-08
TYROBP	-0.285638773082832	8.3790874724156	37.6310462190067	8.54731798697118e-10	1.01358980871211e-06
CD27	-0.316388737405212	7.7809752044011	34.7440681909527	3.76022676828245e-09	4.25640578229718e-06
C1orf162	-0.439184325137991	6.88746302385171	31.5592906544691	1.93442647896377e-08	2.09447924372325e-05
RP11-664D1.1	-0.756055183930998	6.18977165673659	31.0129588583239	2.56311392323371e-08	2.65955108459538e-05
PTGER2	-0.326860977407042	7.49513860467887	30.766523233624	2.91015248248086e-08	2.89886109084884e-05
SELL	-0.373448365173282	7.15321431484864	29.9225604680505	4.49650343655842e-08	4.30678558002363e-05
CXXC5	-0.425256824752349	6.86674392302314	29.7741754892972	4.85415124512672e-08	4.47714549842188e-05
SYAP1	-0.39985239243531	6.9686859175395	28.8824246346114	7.69075948939828e-08	6.7596401044226e-05
SEPT6	-0.294949462365297	7.71641588000427	28.8373771321159	7.87172481340623e-08	6.7596401044226e-05
NCR3	-0.232808876230667	8.65381877736767	27.87772634257	1.29228872104653e-07	0.000107272886734072
GLRX	-0.273066999253059	7.85392841432399	27.3326252733757	1.71296693537841e-07	0.000137606501908801
KLRF1	-0.337216684647265	7.25305399990414	27.2571181661499	1.78118180741854e-07	0.0001386149079692
XBP1	-0.252139087673622	8.13061087624453	26.6750533302541	2.40709313909902e-07	0.000181648001342372
GZMK	-0.200008118737771	9.85334587782607	26.5349455075748	2.58813727266144e-07	0.000189565830885552
AGTRAP	-0.390006404549112	6.91529292192646	26.2462725832262	3.00534330041788e-07	0.000213834469172304
OFD1	-0.299823408918555	7.46822881142881	25.2083786767216	5.14581556096254e-07	0.000355961791429584
SPTSSB	-0.570688212584471	6.36275073812378	24.9826824623898	5.78475662809316e-07	0.000389345390025416
RAC2	-0.216343783448516	8.75521964885838	24.6637606485704	6.82556428516012e-07	0.000447307966824585
RAB8A	-0.369481810107194	6.94743484377925	24.5006701315623	7.42839965523962e-07	0.000474331888754955
HOPX	-0.222316630872014	8.48764538919922	23.8691708879119	1.0310987907002e-06	0.000641936329620175
RP11-706O15.1	-0.590678859834884	6.30144981329953	23.7130673949501	1.11820707401586e-06	0.000679188067419928
JPX	-0.421240206436034	6.70523662889413	23.4545313284351	1.27901111613661e-06	0.000758362233932145
SDF2L1	-0.304269490309694	7.32620899037016	23.398452941781	1.31684398995086e-06	0.000762636415854567
C8orf59	-0.293489345860157	7.40118190265334	23.2839471892423	1.39761644968137e-06	0.000791019146509434
SMC1A	-0.4383197829593	6.62940188101895	22.9379178808014	1.67318548528054e-06	0.000919778727496837
PRSS22	-0.673586588071685	6.13610230019973	22.9085044533359	1.69898492008411e-06	0.000919778727496837
MYC	-0.290355634034501	7.36387274255355	22.1865569574663	2.47399986538826e-06	0.00131085146059072
NOSIP	-0.215732524890475	8.44113024021155	22.0759822242446	2.62068270871973e-06	0.00135784863449505
H2AFV	-0.250556599752045	7.80173932717194	22.0389382234418	2.67174971249479e-06	0.00135784863449505
KDSR	-0.340677334733404	6.98393431437407	21.7510759095539	3.10415733625098e-06	0.00154605660289316
GCHFR	-0.296514219429583	7.28505687169037	21.6997424300137	3.18834088336674e-06	0.00155684809840161
NSG1	-0.347941125579861	6.93201867843728	21.4596523432176	3.61352443470767e-06	0.00173053074995241
AP1S2	-0.349426402740158	6.92719773988301	21.4002566020201	3.72721300727577e-06	0.00175129784000356
UAP1	-0.440286846927165	6.55959265847186	21.2694740006993	3.99035677329606e-06	0.0018402195319517
ARHGAP10	-0.417087428832843	6.62631998041412	21.1912388007462	4.15660261282498e-06	0.00188203408849419
