gene	logFC	logCPM	LR	PValue	FDR
RPS4Y1	3.65766238360865	7.99248521493457	21869.0747833193	0	0
DDX3Y	3.65587546269403	4.75363534600712	6777.24240237656	0	0
TTTY15	3.58446847785431	4.01442793698709	4035.85086821969	0	0
UTY	3.56189751805555	3.97166446118124	3881.6020603345	0	0
EIF1AY	3.52194115704007	4.38619890829587	5136.47716529892	0	0
ZFY	3.44732528356888	3.12375076168407	1748.77155674176	0	0
XIST	-3.36988796489058	7.24822497556721	13601.6510268257	0	0
KDM5D	3.21566286359641	3.60276153905016	2537.4743927021	0	0
USP9Y	3.14502055526299	3.063206434103	1450.19516890016	2.60044782802321e-317	7.19543914014023e-314
PTGDS	0.715194038619664	9.03146138218417	1200.21496120736	5.47749603374664e-263	1.36406083728393e-259
S100B	0.61262747547749	6.56819635670778	602.849656925464	4.01770830838037e-133	9.0957263639633e-130
EIF1AX	-0.590245576807684	6.56496144642855	535.090542171449	2.20538116780599e-118	4.57671726848938e-115
TTTY14	2.82026863072258	2.42315518617621	510.972553857426	3.89596623669612e-113	7.46317286095718e-110
TMSB4Y	2.65228301556954	2.4555152816981	487.2296418786	5.70970854345725e-108	1.01563479898368e-104
ZRSR2	-0.5486169070604	5.4889892525131	323.210017158943	2.89534771935644e-72	4.80685628367556e-69
JPX	-0.558415913678979	5.27871723150602	304.948834712714	2.75179336187426e-68	4.28299438067217e-65
EIF2S3	-0.452476058057953	6.41591516786855	304.764105033238	3.01897899393333e-68	4.42244905211305e-65
PRKX	-0.456047683746229	6.04044322112245	277.732825657609	2.34239299499309e-62	3.24070070857293e-59
RPS4X	-0.327498495601138	11.9793258885426	269.703694433031	1.31670319117949e-60	1.72578208262857e-57
CD160	-0.367820081180262	7.57866605567686	263.028331839502	3.75341443635883e-59	4.6735639854322e-56
ZFY-AS1	1.98070873671994	2.21310056676671	204.461569315469	2.21957506154725e-46	2.63209894084339e-43
DDX3X	-0.369248556285559	6.41396765669705	203.345949133632	3.88776840241678e-46	4.40077711479023e-43
TSIX	-1.5245231176087	2.5125199034029	182.88339264256	1.13732794546e-41	1.23142947068654e-38
XCL2	-0.309314911388094	7.20168154025587	172.008859058316	2.69417832404088e-39	2.79554678348291e-36
ZFX	-0.453817780148923	4.91679922416371	168.47540019809	1.59280597816416e-38	1.58662589096889e-35
DONSON	-0.301263092518333	7.25151416294845	161.212021542	6.14953505303822e-37	5.8900719779158e-34
DUSP2	-0.266334034275193	7.86261306537223	143.898940197825	3.73840278856391e-33	3.44805350531878e-30
