gene	logFC	logCPM	LR	PValue	FDR
RPS4Y1	3.82876298928659	8.71527128326014	4446.69097011398	0	0
XIST	-3.28598800761943	8.03568699672994	1699.21917570865	0	0
DDX3Y	2.61727678400939	6.86547242364073	492.37738220708	4.3303535852929e-109	3.59462651115164e-105
EIF1AY	2.58573687078402	6.81001001047488	441.61141600118	4.82771287730966e-98	3.00561334459106e-94
UTY	2.28995729690755	6.73465387191636	316.705068345167	7.56171209372963e-71	3.76618632540298e-67
RPS4X	-0.497011369044402	12.4673773978082	222.053330576718	3.22484667368972e-50	1.33847261191492e-46
TTTY15	1.80810991836708	6.69807623326114	190.479867465168	2.49796885750057e-43	8.88670263690523e-40
KDM5D	1.51428733306281	6.64586472848741	130.420792586663	3.31499565101737e-30	1.03191670871607e-26
TTTY14	1.40072466464618	6.61393292626439	124.935409613178	5.25785495293959e-29	1.45484846547838e-25
DONSON	-0.624409561375878	8.14876853742159	116.423461331137	3.83913159462107e-27	9.56058941008486e-24
USP9Y	1.25575749313552	6.61330533256071	96.3829109524462	9.46808667531785e-23	2.14348874977673e-19
ZFY	1.25802197789699	6.61320919072574	95.52830508081	1.45791820081573e-22	3.02554474624284e-19
EIF2S3	-0.578402047054887	7.70471158068163	72.9424692229787	1.33484680182543e-17	2.55705306968143e-14
EIF1AX	-0.565520185899964	7.72545984970294	71.1511009497181	3.30888046112131e-17	5.88578929452171e-14
PRKX	-0.600830235427029	7.44104302666326	61.1953565953393	5.16832797302084e-15	8.5804581008092e-12
SPINK2	-0.542315976654556	7.60099628994737	58.6341214815573	1.89894478798582e-14	2.95558887845068e-11
HSPB1	-0.408677883858277	7.84483393948782	41.7123620440582	1.05738302690488e-10	1.54894173641248e-07
TMSB4Y	0.662746614799414	6.57484483926559	40.7831827338209	1.70090562523218e-10	2.35320293250873e-07
HOPX	-0.247260665777375	9.84593420118714	38.2780655532447	6.13483613191701e-10	8.04083285226997e-07
TPT1	-0.187875750720503	12.8786422004531	32.9626064196455	9.39485749105404e-09	1.16980068049859e-05
ZRSR2	-0.568380254454718	7.04308385169622	32.6823607688721	1.08517561513978e-08	1.2868632544679e-05
JPX	-0.484087059711515	7.17455492953541	29.0391593880375	7.09299065121252e-08	8.02894300850661e-05
TAGLN2	-0.230436204141054	9.2826389590522	28.2450874722406	1.06885556335407e-07	0.000115222844839584
ANXA1	-0.260360537923867	8.65524880454858	28.1711977966502	1.11044784811067e-07	0.000115222844839584
DDX3X	-0.38158437397853	7.54088759007056	27.7951283534701	1.34865282360026e-07	0.000128786324004154
ITM2C	-0.572056268776932	6.94442744080715	27.7508559402736	1.37987138222593e-07	0.000128786324004154
MALAT1	-0.166597430381196	15.8258959450705	27.7279454142842	1.39630998197493e-07	0.000128786324004154
GZMK	-0.216571368602185	9.57777201651312	27.4267767330375	1.63156411864018e-07	0.000145110147308916
LMNA	-0.579708712226439	6.91650201698954	27.0778884397484	1.95420465610393e-07	0.000167812270865366
S100A10	-0.234731395842772	8.91977309132392	25.648653495005	4.09581181389367e-07	0.000339993338671314
CD52	-0.184223546464672	10.6345217449528	25.3103223426358	4.88089729194455e-07	0.000392093500842887
