gene	logFC	logCPM	LR	PValue	FDR
RPS4Y1	3.16918508660545	8.33473959758224	1182.20691692062	4.4901048734701e-259	1.11817081664026e-254
EIF1AY	3.52844519795327	7.81256316365218	847.109130882053	3.09064162917401e-186	3.84831242456602e-182
XIST	-2.67176106056986	8.14981873491902	652.395772177338	6.73099698177813e-144	5.58740059457403e-140
AL928742.12	2.15949066481713	8.21072183080533	579.215884776603	5.55446132024218e-128	3.45806875644978e-124
HBB	2.08857533529202	8.11036152690186	548.504347235871	2.66290804392186e-121	1.32628798035572e-117
KDM5D	2.84714631988372	7.54897752827924	439.329693493688	1.51471524599875e-97	6.28682562851781e-94
HBA1	2.08129356441921	7.67310906879768	332.780987496465	2.38282500151954e-74	8.47707014469158e-71
HBA2	1.7595526421633	7.855640445196	319.138073638431	2.23176386739912e-71	6.94720194873003e-68
RPS4X	-0.671163566119025	12.3328305266324	188.453873841728	6.91550758646706e-43	1.91352094917543e-39
DONSON	-0.903385867300185	8.62520151998404	131.345547848843	2.08047856275515e-30	5.18101576482914e-27
DDX3Y	1.44981225262017	7.37730314338401	100.081680107718	1.46239962054775e-23	3.31073979550005e-20
UTY	1.43879844676178	7.36589504750786	98.5505995516609	3.16824960020073e-23	6.57490998281656e-20
EIF1AX	-0.800209926958318	8.23601631099949	89.1042202485776	3.74551090022247e-21	7.17495830371079e-18
TTTY15	1.23220176824175	7.34334799113223	72.7176875982044	1.49587423012722e-17	2.66083971091845e-14
WFDC2	-0.922320390511238	7.3131698738391	49.9241267126538	1.59807501507467e-12	2.65312414002696e-09
ZFY	0.855407929500474	7.30044736258224	45.5290195142744	1.50394021964514e-11	2.34078895561393e-08
SEPT6	-0.474573843282266	8.29076318528577	33.9214227626401	5.73833662622607e-09	8.40598805899458e-06
EIF2S3	-0.513746697194638	7.97263036196747	29.7022614233842	5.03760195464571e-08	6.96952230425234e-05
GSTP1	-0.326458216901388	9.38334513337204	27.0766159131729	1.95549149457846e-07	0.000256303182576249
