gene	logFC	logCPM	LR	PValue	FDR
RPS4Y1	3.15614387646972	9.21259182304561	568.131487599198	1.43142800794737e-125	3.56468516819133e-121
XIST	-2.44715449660551	8.92104590605899	259.20892048681	2.55242843911881e-58	3.17815627096878e-54
TPSAB1	1.69818573877594	8.42768203958351	126.458746032626	2.44021974714364e-29	2.02562641210394e-25
HBB	1.80502288642118	9.04077033438006	100.491950966376	1.18879077960077e-23	7.40111419609951e-20
DDX3Y	1.43658050319308	8.43433045938303	74.2720428781719	6.80605899718633e-18	3.38982574413862e-14
TTTY15	1.30878934082632	8.39293016115199	67.883878648471	1.73413240766989e-16	7.1975165580339e-13
TSC22D1	-1.0211057962815	9.16347690416123	67.4389597056247	2.17311985697703e-16	7.73102911404269e-13
EIF1AY	1.3315338417139	8.40057223948204	66.9992855664425	2.71605544202642e-16	8.454741084098e-13
UTY	1.20076874475829	8.39170419226872	56.1548821777193	6.69810708214331e-14	1.85336622962905e-10
KDM5D	1.00827875013815	8.37023512968855	47.0817031324185	6.8088349445037e-12	1.69560416622976e-08
HBA2	1.21824766961664	8.67621846254304	44.6403835043701	2.36757598500880e-11	5.35997679587948e-08
RPS4X	-0.463162831163773	12.2495892602433	43.8728419972695	3.50417581699581e-11	7.27204086422056e-08
NFE2	-1.01472189852109	8.46568056247186	34.0360612601463	5.41000710788630e-09	1.03634928467456e-05
ACRBP	-0.626129060783459	9.40835159147834	28.9862465117599	7.28940016743541e-08	0.00012966280883546
USP9Y	0.701714423537209	8.35645783831603	25.9133727337964	3.57086814344471e-07	0.000592835529174692
PPBP	-0.358493195212718	11.9926335926927	24.9012094780792	6.03445536939525e-07	0.000939225262900311
HIST1H2AC	-0.522846512380281	9.82730390839972	24.7740250128204	6.44602994218687e-07	0.000944267550883998
TMEM40	-0.633202809006362	8.93525271800101	23.0335056482436	1.59202499156548e-06	0.00220256657583084
DONSON	-0.607704687806995	9.07534641823586	22.8568851559319	1.7452302311506e-06	0.00222407156147304
HIST1H2BJ	-0.726696953500815	8.65423401540631	22.8123012299657	1.78618765728871e-06	0.00222407156147304
PTCRA	-0.559824126181064	9.06806967896652	19.7887509052673	8.64902085521249e-06	0.0102565031598741
C10orf10	-0.543561747687625	8.35587728264496	19.3262126802515	1.10183310349718e-05	0.0124722498983593
CCS	-0.727209276183357	8.52218283336935	18.7428586865315	1.49582463380844e-05	0.0161958786329268
RGS18	-0.463548071125864	9.62579236388662	18.0889730894487	2.10818803892274e-05	0.0218750861388721
LYL1	-0.662719536104933	8.60589661059818	17.8045589403908	2.44795997066648e-05	0.0243846188598029
SLC35G2	0.377916885739679	8.33884909675489	16.8087644142596	4.13419227357495e-05	0.0383391173957651
HHEX	-0.6931864912742	8.41942441857881	16.7984368750965	4.15675287991671e-05	0.0383391173957651
SCGB3A1	0.442708970763116	8.34308685829044	16.434614821883	5.03572160533997e-05	0.0447873482634933
GP6	-0.688636061853558	8.40520227829484	16.3338198857452	5.3107644935947e-05	0.0456048166151686
IL12RB2	0.381773717831258	8.33896095471576	15.8069868479221	7.01430126360013e-05	0.0582257147891447
TSPAN9	-0.651127411639704	8.38250426867533	15.5761220316068	7.92491004724104e-05	0.0636625919053044
GNG11	-0.373932800911576	10.2480487222664	15.2929956624569	9.2057224572574e-05	0.0716406582353378
LINC00920	-0.48841652365731	8.35000287318827	15.1036679243268	0.000101765366682657	0.0764142052558
PF4	-0.293458712621906	11.4340451825637	15.0567206858891	0.000104328112223314	0.0764142052558
ZRSR2	-0.649816248489323	8.50421229155999	14.8751422490419	0.000114866709547649	0.0817293047961457
RGCC	-0.549461635829779	8.7160826344253	14.6657897335062	0.000128354879848166	0.0882625505842597
TACC3	-0.618180515051307	8.54340770733655	14.6253677013372	0.000131137387929872	0.0882625505842597
RP11-388M20.1	0.327274097608254	8.33703425455868	14.2056944097253	0.000163873849577411	0.107393433579638
WDR46	-0.650147843625335	8.43941127364423	14.1407908828569	0.000169625404165661	0.108312344613781
RSU1	-0.518807327386746	8.78945801120704	13.7325053641456	0.000210774836590223	0.128380770813171
GFI1B	-0.615205965751518	8.51911866925108	13.727257574533	0.00021136455862105	0.128380770813171
ABCC5	-0.559608712014913	8.36967471899084	13.1826548996297	0.000282552175989755	0.166796167251592
RUFY3	-0.506830451978388	8.35706549541078	13.1468248862997	0.000288006874345198	0.166796167251592
RAB32	-0.566767356056949	8.60315006093114	13.0510521140635	0.000303114084599202	0.17155568292668
MPP1	-0.487064319657241	8.8645956998718	12.9454214644143	0.000320704888084593	0.175325103727299
PRKX	-0.573884313168719	8.56716343215072	12.9271253037744	0.000323854747277668	0.175325103727299
ANKRD32	-0.609193374377363	8.46641851113221	12.8515117603959	0.000337206708610461	0.178669333287794
TMEM45A	-0.473612873454648	8.35818446316924	12.2684191254588	0.000460688369361458	0.22961804589027
FRMD4B	-0.603836881569849	8.46735973220122	12.2552746221193	0.000463944868816529	0.22961804589027
ZNF367	-0.298912132575226	8.33937591625492	12.2453483542254	0.000466419449844115	0.22961804589027
CA2	-0.519961350607898	8.67910376926609	12.2270528844327	0.000471015395926429	0.22961804589027
CD68	-0.560293400356639	8.56761670437653	12.1656286909923	0.000486782546405997	0.22961804589027
DAPP1	-0.539126144501174	8.62169547181416	12.1210926390539	0.000498546835889056	0.22961804589027
SPIN2A	0.249363905261562	8.33456529953494	12.104816489487	0.000502917459939409	0.22961804589027
CTSA	-0.419488665896477	9.18873644025225	12.0785996419473	0.000510038925039119	0.22961804589027
RP11-380L11.4	-0.299780001987564	8.33897607078984	12.0556808859275	0.000516347852461756	0.22961804589027
RP11-879F14.2	-0.577316999650094	8.50774953702611	11.9141104316482	0.000557103352472029	0.243395522572122
RP11-367G6.3	-0.486628783793244	8.76219776650749	11.8017904483553	0.000591737856551453	0.254069790374152
MYL9	-0.406465318062191	9.27144428307355	11.7460167295967	0.000609735909222551	0.257141640141321
PCP2	-0.580436386832895	8.39707185854816	11.6906024005576	0.000628165582540159	0.257141640141321
RP11-670E13.2	0.27927057366431	8.33536202290266	11.6632184353519	0.000637479611713283	0.257141640141321
DAB2	-0.516094541050121	8.65906839124042	11.6519838181159	0.00064134104478112	0.257141640141321
BBC3	-0.575931491209146	8.47434521662952	11.6255473240618	0.000650520954459431	0.257141640141321
AQP10	-0.589633986768591	8.44563482142478	11.5445242393636	0.000679490860180141	0.264396263922907
GATA1	-0.56132345392705	8.39068602423331	11.3744111103423	0.000744628292091692	0.285284282430145
THOP1	-0.469738254211353	8.3585109792773	11.2740073204275	0.000785998734772231	0.29657161351565
PLOD3	-0.532925068013206	8.37636761523095	11.1317618828338	0.000848619455001332	0.315420452058181
NEDD4L	0.262456084703583	8.33513628492572	11.0930718629685	0.00086650829776776	0.316841630687565
CRELD1	-0.553838336331166	8.39342409699591	11.0625116819813	0.000880907305363737	0.316841630687565
LIMS1	-0.401594672310186	9.17435260122905	11.0421978609106	0.000890612141032387	0.316841630687565
ILK	-0.436975655075535	8.91652249120233	10.9731455241891	0.000924417161100869	0.324236064266126
GATA2	-0.519858015134798	8.37151512005974	10.924123272838	0.000949201122224143	0.328304938149276
RP11-217B1.2	0.251540027030038	8.33477365139955	10.8494945578869	0.000988227268861882	0.337120872280376
RARS	-0.572962633320537	8.41886154874373	10.8160172781147	0.00100625718990674	0.337424677969694
RP11-293A21.1	0.359942021141595	8.34214693066727	10.7977835104302	0.00101621695569719	0.337424677969694
FKBP14	0.232624634702388	8.33406843510592	10.7467230154085	0.00104464133719329	0.338481415434586
TCF7L2	-0.490980570875121	8.36847261131178	10.7276284218023	0.00105547634857449	0.338481415434586
NRG2	-0.374294513537022	8.34389527475405	10.7194086482999	0.0010601754970846	0.338481415434586
SERPINB1	-0.459142484443683	8.78666494142998	10.6847936883618	0.00108019780829727	0.340508430633253
ETFA	-0.479342429899602	8.70289587123869	10.5877129916852	0.00113841715525374	0.354375030216047
EIF3I	-0.487454844531056	8.66186163890096	10.482233432554	0.00120527964347443	0.367766973816413
NEXN	-0.524091415203036	8.55589554809117	10.4735251435493	0.00121097425422423	0.367766973816413
ESAM	-0.481205431585135	8.65267398507108	10.4072208291059	0.00125523511996625	0.375441898443022
OSBPL3	0.511671600059278	8.369132103583	10.3738771414742	0.00127810856295132	0.375441898443022
DNAJB6	-0.409046285648122	9.0209721098487	10.369021384721	0.00128147457606139	0.375441898443022
NAP1L1	-0.324821375418861	9.96536449514264	10.3018169034307	0.00132899293791677	0.384836175964434
PARP8	0.510212796907847	8.55173026312856	10.238580563269	0.00137533380734689	0.393677446027123
LGALS12	-0.55100559728868	8.41201130581823	10.1422481672487	0.00144909324133692	0.410076920329698
SENCR	-0.548401815678908	8.42111118611444	10.1074885933401	0.00147668054711166	0.413188490614851
NABP2	-0.558339435415333	8.40577769756862	10.0550015125331	0.00151934892705884	0.420403848117182
AP1G1	0.542674150902223	8.39695510433653	9.98969912571491	0.00157418323028106	0.430789944875705
RP11-110I1.12	-0.243530601630373	8.33662542106284	9.92242763557211	0.00163276881897091	0.441965672813397
HEXDC	0.530517632840877	8.42704336678951	9.78969323511598	0.00175492737329696	0.469924262120583
C11orf49	-0.493953442055946	8.36902346417935	9.75313648668279	0.00179017018874229	0.474261789470735
TMEM140	-0.492922140787364	8.57036632754389	9.69386328481789	0.00184884418133102	0.483985096631852
CLDN5	-0.46132608352279	8.67666482377111	9.66577813480615	0.0018773222948511	0.483985096631852
RP11-166B2.5	-0.250305859368587	8.33752624567825	9.65810810164982	0.00188517666037383	0.483985096631852
RAB1A	-0.519437581800769	8.49836984990482	9.55114774786279	0.00199824431514932	0.507778348777178
SLC44A4	0.217983893929834	8.33355555433076	9.52442371454621	0.00202755246801418	0.510021607181386
ZFAND1	-0.515522265188074	8.50380113116399	9.47921817303768	0.00207812510699132	0.515175523935864
CCDC50	0.447300718114171	8.35287517168081	9.46490249808096	0.00209440565625652	0.515175523935864
PRR3	-0.50772740053224	8.38137240860339	9.42453335241632	0.00214101573867775	0.515175523935864
HIST1H1C	-0.45842841692547	8.66667213126504	9.41682887159459	0.00215003015716311	0.515175523935864
UBXN6	-0.512084717809614	8.51966018674465	9.41103415419178	0.00215683546451859	0.515175523935864
BOLA3	0.503545074405372	8.49955213363468	9.39804853381793	0.0021721652015125	0.515175523935864
HKR1	-0.429661845505679	8.35930582702137	9.35383071919136	0.00222519885564554	0.52277478398246
NLRC5	0.490044938308054	8.54179590399168	9.28138415650551	0.00231494433030971	0.535556975635302
RP11-90C4.1	-0.246351764281792	8.33674504976838	9.27532250444228	0.00232261789216611	0.535556975635302
MOB3A	-0.520567134194408	8.45577452027961	9.15200716497895	0.00248445392372751	0.559257605746956
PNPO	-0.243939321386829	8.33668330342469	9.15090272896016	0.00248595392756143	0.559257605746956
RGS10	-0.326674456546725	9.6489074252474	9.14588842273452	0.0024927757393853	0.559257605746956
LINC01125	0.184662727443208	8.33271971243598	9.12404197543476	0.00252271959079151	0.560922196156081
ANXA2R	-0.474879260444138	8.6123532570923	9.10748062858113	0.00254566249481796	0.561014452287182
ZRANB2	-0.444507476704328	8.70932936812315	9.08392565536246	0.00257865922100251	0.563031830295627
NCKAP5L	0.421614892222634	8.35166265693875	9.06882943820446	0.00260003455342718	0.563031830295627
SMPD1	-0.518791454532232	8.47191007590704	9.05199975604353	0.0026240764942464	0.563339456346707
RAB11A	-0.401895763129831	8.87967727081049	9.03013741194945	0.00265564518211019	0.565243862992223
LINC00324	-0.466235953453942	8.36894846729858	8.97429288103729	0.0027380452562375	0.568549672784714
RAP1B	-0.315352709437151	9.74171626029334	8.96714741249366	0.00274877428192571	0.568549672784714
ACE	-0.222086265494803	8.33574455668673	8.96136150421722	0.00275749317979483	0.568549672784714
RUFY1	-0.376946003282871	9.02812177724587	8.95804806115575	0.00276249891205679	0.568549672784714
VKORC1	-0.495641819083872	8.49390962814917	8.9220256804108	0.00281751831667791	0.575120152788769
SOX6	-0.1617716707798	8.33340906925519	8.88341792579162	0.00287772299573332	0.578014591083041
CLEC1B	-0.432427724572422	8.74084997453683	8.88066152312581	0.00288207096028523	0.578014591083041
FBXL8	-0.396520639064086	8.35231262904902	8.86850270627653	0.00290133011626632	0.578014591083041
ANXA4	-0.521546595868857	8.4268806598506	8.84030858270768	0.0029464932165977	0.582353337880418
KLF10	-0.467573852719105	8.38157755278887	8.79438388095315	0.00302159273118537	0.592493888068578
BMI1	-0.501417511386111	8.39764801724547	8.75728183744872	0.00308368302590608	0.599944987454211
RP4-816N1.6	-0.368255718830738	8.34702918770378	8.72732722119515	0.00313475688803718	0.601126493834381
ARHGAP12	0.469134730764942	8.37558613533782	8.70504715409669	0.00317330207319362	0.601126493834381
ZFAND6	-0.471285004302901	8.57531414693278	8.6967999252887	0.00318769185747942	0.601126493834381
DENND2C	-0.447639946070473	8.36742750130895	8.69264391244798	0.00319496838744084	0.601126493834381
RP4-777D9.2	-0.313429225059809	8.34252984531541	8.66283828261081	0.00324765042859717	0.601126493834381
AHCTF1	-0.491206497070013	8.48347247174738	8.64553817850089	0.00327863277020955	0.601126493834381
UPRT	0.417438327601872	8.34997593416155	8.63393207715859	0.00329958606578924	0.601126493834381
TUBB1	-0.31565359505877	9.64720567603498	8.63352027196788	0.00330033202130588	0.601126493834381
CASC3	-0.514191501916905	8.42432409596604	8.62984100364633	0.00330700436314139	0.601126493834381
CHTF18	-0.301204108438906	8.34117901499637	8.60001031775179	0.00336161098652561	0.603025612581681
PLIN3	-0.499734010472947	8.40453797932382	8.59769792577765	0.00336588202822365	0.603025612581681
CLEC2D	-0.473726797216098	8.53874131042786	8.56489800250296	0.00342706173983541	0.609600846479437
CTTN	-0.428740478700343	8.70371322050551	8.54093178864741	0.00347247826067088	0.611385196121755
CD27	-0.450978835917119	8.62146810192541	8.51237156170714	0.00352740050565267	0.611385196121755
RP11-10L12.4	-0.199393629954232	8.33519136454039	8.50105649776418	0.00354940327874057	0.611385196121755
MLH3	-0.440140258268363	8.66501204053155	8.49874285030137	0.00355391945225295	0.611385196121755
SLC16A13	-0.313024011439097	8.34196524596471	8.49442745100437	0.00356235860659782	0.611385196121755
FAM110A	-0.471517116850532	8.53291396919685	8.47199538628217	0.00360655594574161	0.611385196121755
GP9	-0.347591295633172	9.21811950805232	8.46336918561883	0.0036237000156761	0.611385196121755
FAM212B-AS1	-0.476360186234843	8.37663324908177	8.45845768730322	0.00363349833457896	0.611385196121755
HIST1H2BD	-0.488904169222977	8.42296103489203	8.42143254624762	0.00370823506816201	0.619773006056635
EZR	-0.43122941499122	8.65350299697864	8.34902693918491	0.00385893937499132	0.638662484145059
LRRC41	-0.486605480630561	8.38682072845164	8.33213521711852	0.00389498506351128	0.638662484145059
DDX3X	-0.424884477725058	8.68310157578675	8.32035864648844	0.00392031788251162	0.638662484145059
IGF2BP2	-0.393984033690518	8.35393138295997	8.29353587048735	0.00397864446947907	0.638662484145059
MED1	-0.491430016619092	8.38947089704154	8.28405468105086	0.00399947204322141	0.638662484145059
ADIRF	-0.218405040662479	8.3357342928758	8.27318041873296	0.00402349645089552	0.638662484145059
MAX	-0.343870289181452	9.19179738613854	8.25360701654438	0.00406711048361856	0.638662484145059
INTS8	0.461778803190143	8.37484898201265	8.24345337975623	0.00408992432570026	0.638662484145059
AC062029.1	-0.222410497585359	8.33592248690875	8.24059934222096	0.00409636037719153	0.638662484145059
KCTD20	-0.481201178553006	8.46346124626531	8.237961605762	0.00410231781946386	0.638662484145059
VASH1	0.323818136106262	8.34743592175196	8.23750015184987	0.00410336093897159	0.638662484145059
EHMT1	0.484888651033207	8.45554685140642	8.22014053005995	0.00414279919085013	0.640795827638141
SYCE1L	-0.491660223197839	8.40088363713714	8.16094464736904	0.00428020716519034	0.654886227466768
KDM1B	0.365117537669355	8.34661508524586	8.15828451540997	0.00428648978344309	0.654886227466768
AC147651.3	-0.419580590087562	8.69972417671678	8.13561031405516	0.00434042351346995	0.656085620880248
CMIP	-0.456314110229593	8.58112993094463	8.12356780438779	0.00436934867453083	0.656085620880248
ANK1	-0.365992651078295	8.34783577543646	8.11122485611341	0.0043991991513649	0.656085620880248
RP11-60I3.5	-0.190264178835748	8.33432864342225	8.1110090633848	0.00439972287222429	0.656085620880248
ZFP30	0.278234977189355	8.3384376590104	8.05807890515911	0.00453011923113587	0.668876391480854
RP4-666F24.3	0.18648483134336	8.33265652229646	8.05444422817093	0.00453921656668933	0.668876391480854
MOK	0.172392153305961	8.33221696849888	8.03751717819379	0.00458182945943636	0.669197514431867
AP3M2	-0.454372609124905	8.5366681145888	8.02890470020998	0.00460366703638574	0.669197514431867
MOSPD1	0.421341346826921	8.36172445910997	8.02108176346511	0.0046235945340474	0.669197514431867
AKR7A2	-0.477382705511482	8.51569062131588	8.01120298991015	0.0046488844716184	0.669197514431867
TPM4	-0.332510330288152	9.27172516726785	7.97944907870192	0.00473113375647794	0.677123126077989
DECR2	-0.209469250501338	8.33548520737592	7.95160409061879	0.0048044773677794	0.683690856513202
AC124944.3	0.197720278696954	8.33308143457644	7.93813125835209	0.00484037953011841	0.684886201355334
CEP112	-0.173861890078486	8.33379196253986	7.92199431439861	0.00488374093256242	0.68711751663052
RP11-138P22.1	0.165988297779083	8.33205114935918	7.89096712692246	0.00496822913284708	0.691552192149041
PDE4DIP	-0.426015184940682	8.36559519634562	7.8900313125005	0.00497080040134435	0.691552192149041
SPA17	0.156688246954042	8.33171995315051	7.8797147452089	0.00499923650786253	0.69164437086278
HEMGN	-0.492748360749366	8.46933815064206	7.84816091654233	0.00508724317176224	0.699931584013232
PDCD10	-0.421197297675272	8.6497044276741	7.8258209443585	0.00515050474791171	0.704741866688161
RP11-348N5.7	0.178028136463763	8.33232473541965	7.7839928363626	0.00527111681456938	0.710668984093018
FEZ1	-0.494697938776415	8.39343630895512	7.78312180738487	0.00527365881495756	0.710668984093018
FAM120AOS	0.45555427907577	8.39917555204361	7.77183792964769	0.00530670272624494	0.710668984093018
RP11-802E16.3	0.271400193492423	8.33706381581949	7.77069159391691	0.00531007146512209	0.710668984093018
TBPL1	-0.46630841839033	8.50792607278864	7.74920406632032	0.0053736219081417	0.710668984093018
KLHL24	-0.470488575814053	8.491966833923	7.74265881755906	0.00539313346891224	0.710668984093018
RNASE6	-0.305639756193193	8.34138961705648	7.73548262945837	0.00541460890154236	0.710668984093018
FAM63A	-0.475800903352056	8.4274842265924	7.73297887961235	0.00542212211290501	0.710668984093018
RP11-10N23.5	0.164282671171986	8.33192524783403	7.68157191348166	0.00557875526027086	0.727370378254059
ZNF641	-0.418165171549068	8.3636284490367	7.65240002445739	0.00566968427501192	0.735375768232405
