gene	logFC	logCPM	LR	PValue	FDR
RPS4Y1	4.17815770426601	8.52006987149578	12735.1998547215	0	0
DDX3Y	3.42290242476162	5.53626553612052	1620.09694307272	0	0
XIST	-3.20654680996615	7.36238938957719	4093.31423355485	0	0
EIF1AY	3.29086979589278	5.41184971299909	1317.83984116993	1.50104700164719e-288	9.34514337050501e-285
TTTY15	3.15413069023021	5.27115595875353	1033.95006114025	7.49666661981182e-227	3.73378977666347e-223
KDM5D	2.97311625229021	5.15990484236202	805.144382723744	4.10756237257949e-177	1.70484376273912e-173
UTY	2.83186985781208	5.1819277625904	771.864503487271	7.06905500044586e-170	2.51486680965862e-166
RPS4X	-0.492599928051391	12.6252316107603	369.263362737567	2.7075924605996e-82	8.42839688078897e-79
USP9Y	2.27487202450709	4.88826926751616	326.178850758629	6.5321064882083e-73	1.80743386528724e-69
ZFY	2.24749010485296	4.8539568389343	302.56105626854	9.11614525290408e-68	2.2701936523307e-64
EIF1AX	-0.66963028183671	6.94696856668625	241.626913576667	1.73768333818775e-54	3.93395710644451e-51
SEPT6	-0.44352476901922	7.78739271359261	162.049755857357	4.03476850382586e-37	8.37315333756462e-34
EIF2S3	-0.42293823071707	7.45811759051453	129.095917736549	6.46189827247589e-30	1.23785117445744e-26
ZRSR2	-0.609473263543156	6.09864789616605	112.452331242829	2.84421645362292e-26	5.05925159604082e-23
PRKX	-0.584624907554192	6.11608089818588	105.627923652965	8.89651677679708e-25	1.47699971528385e-21
JPX	-0.564114445061735	5.8247702611887	75.2598181594349	4.12673137212514e-18	6.42299946000202e-15
ZFX	-0.631778551063562	5.55118563105253	69.5213647909934	7.55912620003984e-17	1.10732305740937e-13
DONSON	-0.312355525374539	7.35436465428302	66.0473488659081	4.40219586025708e-16	6.09043797266567e-13
TXLNG	-0.546210116306652	5.66441286194954	59.8737204878473	1.01142975692457e-14	1.3256650124575e-11
DDX3X	-0.347474364762113	6.47586025891547	50.269370483539	1.3402520169193e-12	1.66881479886707e-09
FCER1G	-0.433478066917314	5.86375104250346	46.9403602943157	7.31800457526621e-12	8.67810799704068e-09
PRKCQ-AS1	-0.228524163754082	7.79427923805789	44.198744722341	2.96671468844822e-11	3.35818617665572e-08
RP11-706O15.1	-0.683742192650422	5.0884979580783	41.665205595635	1.08319657581957e-10	1.17281931859282e-07
GIMAP7	-0.205231328862732	8.0849752659561	39.3945679864235	3.46258862375899e-10	3.59286852072793e-07
AIF1	-0.330949911448581	6.20818123394822	37.631273128871	8.54632375632874e-10	8.51316402015419e-07
CCR7	-0.249661245699716	7.04291470351517	37.3922948891777	9.66030227940312e-10	8.94120076432646e-07
LINC00152	0.255089058243556	6.92845264979387	37.3854813866401	9.69410997216458e-10	8.94120076432646e-07
LAIR2	-0.356971212748244	5.90226664171721	33.3305765066723	7.77505058994723e-09	6.91507445862343e-06
TMSB4Y	0.613688180601132	4.69255929791838	33.2145045947833	8.25326055111404e-09	7.08727405187562e-06
RTKN2	-0.199469732557542	7.65823963217506	31.735468896451	1.76666124864108e-08	1.46650550249696e-05
C1orf56	0.194114976134119	7.63909677769768	30.6877832122527	3.03067212892078e-08	2.43460735569401e-05
HPGD	0.43785243926187	5.41056936373413	30.6027781039593	3.16640032358028e-08	2.46415210181624e-05
TTTY14	0.550356784241704	4.68895443858238	30.0932407476833	4.11763904912241e-08	3.10732015879683e-05
IL2RG	-0.184669232891981	7.81236312413068	29.0036675129166	7.2241399529768e-08	5.29125756614651e-05
FUNDC1	-0.500919178278702	5.23028632852609	28.8027037589121	8.01391592061589e-08	5.70201566203136e-05
TSIX	-0.742656663177317	4.74956385677525	27.9532333031597	1.24283114566091e-07	8.59728445010933e-05
ARL6IP5	-0.180521582885603	7.7667348100693	27.428898041461	1.62977541287259e-07	0.000109692694883152
CD99	0.173926733480222	7.8182223347872	26.3352622367436	2.87000551983025e-07	0.000188083545948244
LBH	-0.196048551116258	7.27664118408503	25.99228679881	3.42784141269449e-07	0.000218880858205977
SYAP1	-0.322254629395785	5.84688044123058	25.8965775179147	3.60207223700348e-07	0.000224256012295244
KDM6A	-0.521464384556823	5.11013563629557	25.7353355493427	3.9159117086642e-07	0.000237848656782597
PTGIR	-0.514493064287409	5.12474703723108	25.6551710285062	4.08200187679834e-07	0.000242033554137879
ZFY-AS1	0.494620471776872	4.68881599305129	25.1133827434889	5.40564035776223e-07	0.000313062004254309
SMC1A	-0.349172674027609	5.66231550883025	25.0446672000271	5.60174677947978e-07	0.000314892839006198
PIM1	-0.208485135551948	6.95430440725964	24.9526950617485	5.87543409985385e-07	0.000314892839006198
ARID5B	-0.175146435156312	7.6902541313375	24.9343870857431	5.93149394168908e-07	0.000314892839006198
CNBP	-0.16181515359845	8.12360640395335	24.9306365120609	5.94304438553239e-07	0.000314892839006198
CXorf38	-0.420235590287971	5.34271870537345	24.2044561492644	8.66316049786369e-07	0.00044945559557979
PNPLA4	-0.569106906174115	4.9823686295953	23.8402549141459	1.04670436732187e-06	0.000531960793049316
RP11-333A23.4	0.424304829137534	4.68327819707165	23.2701895302926	1.40764966717633e-06	0.000701093993233842
XBP1	-0.230157571382249	6.52719990251972	23.142352887573	1.50440294474256e-06	0.000734591108488705
WAPAL	-0.288876316043581	5.94791131662368	23.0896042003444	1.54624455256135e-06	0.000740502463316064
CDKN1B	-0.219403941859494	6.64506212123098	22.8091626213902	1.78910703413629e-06	0.000840644008888602
TPRKB	-0.265220870530646	6.08168505485144	21.9715992663089	2.76715055814702e-06	0.00127611759906547
C8orf59	-0.199044279534034	6.87164252171303	21.5676805733667	3.41559296925638e-06	0.00154651839478894
GIMAP1	-0.188201889686065	7.05110874244038	21.4243865951964	3.68059950592706e-06	0.00163674945528753
UCP2	-0.155943366559825	7.88518320675902	21.3641427184243	3.79808569426325e-06	0.00165936364989891
HBA2	0.339693618285285	5.47487429731734	21.0589479458918	4.45368166236524e-06	0.00191224197306692
